level2,level3,full_label,assignments
Circularity,By-products and waste as inputs,Circularity > By-products and waste as inputs,286
Circularity,Nutrient recovery,Circularity > Nutrient recovery,139
Circularity,Resource efficiency,Circularity > Resource efficiency,113
Feed-resource supply,Novel feed resources,Feed-resource supply > Novel feed resources,114
Feed-resource supply,Marine feed resources,Feed-resource supply > Marine feed resources,103
Feed-resource supply,Crop-based feed resources,Feed-resource supply > Crop-based feed resources,46
Farm inputs,Infrastructure and equipment,Farm inputs > Infrastructure and equipment,66
Farm inputs,Water supply,Farm inputs > Water supply,62
Farm inputs,Therapeutants and chemicals,Farm inputs > Therapeutants and chemicals,28
Farm inputs,Energy supply,Farm inputs > Energy supply,22
