lens_id,historical_decision,model_decision,category,model_reason
"000-002-032-864-540","","retain","new_retain","The abstract explicitly identifies farmed rainbow trout (Oncorhynchus mykiss) and describes its propagation and dissemination of farming practices in Nepal."
"000-044-855-401-139","retain","exclude","conflict","The study concerns brown trout, which is not an eligible species, and mentions Atlantic salmon only for comparative genomics; aquaculture is merely a future application rather than the study context."
"000-096-136-285-738","exclude","exclude","agreement","The record concerns acid-rain impacts on commercial and sport salmon fishing, with no evidence of eligible salmon aquaculture or farming."
"000-148-549-786-882","retain","retain","agreement","The abstract explicitly concerns farmed fish and aquaculture markets, and studies prices for different sizes of salmon."
"000-177-092-986-173","retain","retain","agreement","The title explicitly concerns amoebic gill disease on a marine Atlantic salmon farm, establishing both eligible species and commercial aquaculture context."
"000-192-697-974-808","","retain","new_retain","The title explicitly identifies farmed Atlantic salmon (Salmo salar) and concerns disease characterization in that aquaculture context."
"000-220-510-295-721","retain","retain","agreement","The title and abstract explicitly identify sea-farmed rainbow trout (Oncorhynchus mykiss) and examine commercial pre-slaughter and flesh-quality procedures in Aquaculture."
"000-262-693-016-507","exclude","exclude","agreement","The study concerns farmed brown trout (Salmo trutta), which is not among the eligible salmon or rainbow trout species."
"000-316-381-638-885","","retain","new_retain","The record explicitly concerns farmed rainbow trout and disease control through immunity, vaccination, and breeding, with publication in Aquaculture."
"000-342-567-047-476","","exclude","new_exclude","The study concerns farmed Arctic charr, which is not an eligible salmon or rainbow trout species; the generic reference to other salmonids does not satisfy the species criterion."
"000-407-560-218-556","retain","retain","agreement","The study explicitly concerns farmed Atlantic salmon pre-smolts, commercial vaccines, sea-water tanks, and marine field pens, establishing both eligible species and commercial aquaculture context."
"000-446-575-163-676","exclude","exclude","agreement","Although Atlantic salmon is identified, the study concerns hatchery-reared and wild parr held in rivers or experimental cages, with no evidence of commercial aquaculture."
"000-509-827-218-609","exclude","exclude","agreement","The study concerns Caspian salmon (Salmo trutta caspius), which is not an eligible species, and provides no explicit aquaculture or farming context."
"000-535-330-134-839","retain","retain","agreement","The record explicitly concerns farmed Atlantic salmon and evaluates pigments used in salmon flesh coloration, establishing both an eligible species and aquaculture-production relevance."
"000-561-721-575-50X","retain","retain","agreement","The record explicitly studies farmed Atlantic salmon (Salmo salar) during a standard production cycle in open sea cages, with aquaculture breeding and production context established."
"000-599-077-994-386","retain","retain","agreement","The study explicitly examines farmed rainbow trout (Salmo gairdneri, a historical synonym) raised in cages, with stocking density, feed conversion, and production outcomes establishing aquaculture context."
"000-629-497-111-10X","retain","retain","agreement","The abstract explicitly identifies farmed rainbow trout (Oncorhynchus mykiss) and investigates a disease and pathogen-transfer process affecting farmed production, establishing direct aquaculture relevance."
"000-654-646-035-855","retain","retain","agreement","The title and abstract explicitly concern salmon culture/farm effluent and integrated kelp culture, establishing commercial aquaculture relevance even though the measured organism is kelp."
"000-714-182-316-094","retain","retain","agreement","The abstract explicitly concerns farmed Atlantic salmon and anti-louse chemicals used on salmon farms, establishing both eligible species and commercial aquaculture relevance."
"000-744-683-967-335","retain","retain","agreement","The study explicitly examines farmed Atlantic salmon (Salmo salar) raised on manufactured feeds at multiple commercial farms, establishing both eligible species and aquaculture context."
"000-784-773-125-832","","exclude","new_exclude","Although aquaculture is explicit, the relevant fish are identified only generically as salmonids, with no eligible salmon or rainbow trout species or explicit salmon-farming focus."
"000-813-418-972-877","retain","retain","agreement","The record explicitly concerns farmed Atlantic salmon (Salmo salar) and evaluates fillet quality after pancreas disease, establishing direct commercial aquaculture relevance."
"000-842-813-831-620","retain","retain","agreement","The abstract explicitly links teflubenzuron exposure to its use by salmon farms, evaluating an ecological impact of salmon-aquaculture treatment on non-target polychaetes."
"000-902-987-499-762","","retain","new_retain","The abstract explicitly studies rainbow trout (Oncorhynchus mykiss) in recirculating aquaculture systems, establishing both eligible species and aquaculture context."
"000-938-757-236-574","retain","retain","agreement","The study explicitly examines rainbow trout (Oncorhynchus mykiss) and nutrient pollution generated by overfed fish farms, establishing both eligible species and aquaculture relevance."
"000-971-596-128-103","retain","retain","agreement","The abstract explicitly concerns cleaner fish used in European salmon farming and diseases occurring in salmon farms, establishing direct relevance to salmon aquaculture despite the studied bacteria and cleaner fish not being eligible salmon species."
"001-009-514-959-030","","exclude","new_exclude","The record mentions only generic salmonids and commercial vaccines, without identifying an eligible salmon species or establishing a commercial aquaculture study context."
"001-040-512-467-214","retain","retain","agreement","The title and abstract explicitly identify farmed Atlantic salmon (Salmo salar) and aquaculture, directly establishing both eligible species and commercial aquaculture relevance."
"001-104-003-812-50X","retain","retain","agreement","The record explicitly studies farmed Atlantic salmon (Salmo salar) and Tenacibaculum isolates from salmon farms, establishing direct commercial aquaculture relevance."
"001-128-936-875-592","retain","retain","agreement","The record explicitly concerns seawater-reared Atlantic salmon (Salmo salar) and a disease in farmed fish, establishing eligible species and commercial aquaculture relevance."
"001-163-393-997-190","retain","retain","agreement","The title and abstract explicitly identify farmed rainbow trout (Oncorhynchus mykiss) and intensive/recirculating aquaculture production systems."
"001-229-764-611-875","exclude","retain","conflict","The study explicitly examines farm-relevant dietary oils and commercial feeds for Atlantic salmon smolts, establishing both eligible species and aquaculture production context."
"001-265-316-869-563","retain","retain","agreement","The record explicitly concerns farmed Atlantic salmon (Salmo salar) and evaluates a vaccine relevant to controlling sexual maturation in aquaculture production."
"001-347-053-199-746","","retain","new_retain","The abstract explicitly identifies rainbow trout and discusses 3D cell culture applications in aquaculture research."
"001-379-698-986-532","","exclude","new_exclude","The record concerns a salmonid net-pen/farm but identifies no eligible salmon or rainbow trout species, and generic salmonid terminology does not satisfy the species criterion."
"001-451-472-716-621","retain","retain","agreement","The record explicitly studies farmed Atlantic salmon (Salmo salar) and distinguishes farmed from wild origin for food-label verification."
"001-495-096-719-435","retain","retain","agreement","The study explicitly concerns farmed Atlantic salmon (Salmo salar) in a full-scale production facility across four production cycles and evaluates acoustic salmon-lice treatment."
"001-513-585-327-316","exclude","exclude","agreement","The record studies unspecified salmon fillets and freshness but provides no explicit evidence of farmed or commercial aquaculture origin."
"001-540-256-110-208","exclude","exclude","agreement","The study concerns commercially farmed yellowtail (Seriola quinqueradiata), which is not an eligible salmon or rainbow trout species; salmon is mentioned only illustratively."
"001-594-991-530-624","retain","retain","agreement","The title explicitly identifies farmed Atlantic salmon (Salmo salar) and welfare factors in commercial marine cages, establishing both eligible species and commercial aquaculture context."
"001-655-335-980-594","","exclude","new_exclude","The record concerns Pacific oysters, not an eligible salmon or rainbow trout species; the incidental mention of triploid rainbow trout does not establish a study of that species."
"001-694-949-393-054","retain","retain","agreement","The abstract explicitly identifies farmed Atlantic salmon and compares tank-reared fish with commercially relevant sea-cage production in an aquaculture context."
"001-720-691-263-776","","exclude","new_exclude","Although aquaculture relevance is explicit, the record identifies only generic salmonid models/pathogens and does not name an eligible salmon or rainbow trout species."
"001-756-498-475-990","","retain","new_retain","Rainbow trout are explicitly mentioned, and the title/abstract directly concern producing a fish-feed additive for fish aquaculture."
"001-794-976-625-154","retain","retain","agreement","The title and abstract explicitly concern seawater-farmed Atlantic salmon (Salmo salar) in farm cages, establishing both eligible species and commercial aquaculture context."
"001-829-079-653-304","exclude","exclude","agreement","The study concerns cultured sea bass (Dicentrarchus labrax), while eligible salmon/trout species appear only in historical background and are not the aquaculture subject."
"001-881-602-992-561","exclude","exclude","agreement","The record concerns a commercial salmon-trolling fishing vessel, with no evidence of aquaculture or farmed salmon production."
"001-926-284-309-021","exclude","retain","conflict","The record explicitly concerns genetically engineered Chinook-derived salmon intended for growers to raise to market size in contained aquaculture systems, directly establishing eligible species and commercial aquaculture relevance."
"001-979-223-367-577","retain","retain","agreement","The book explicitly concerns aquaculture in Japan and includes chapters on eligible species including chum salmon, rainbow trout, coho salmon, and masu salmon."
"002-025-790-052-327","retain","retain","agreement","The title explicitly identifies rainbow trout (Oncorhynchus mykiss) and a recirculating aquaculture system (RAS), establishing eligible species and aquaculture context."
"002-072-410-653-182","retain","retain","agreement","The title and abstract explicitly identify rainbow trout (Oncorhynchus mykiss) and evaluate stress selection, feed waste, and feed efficiency with stated benefits for aquaculture."
"002-117-978-941-247","retain","retain","agreement","The study explicitly concerns Atlantic salmon (Salmo salar) and genomic selection in an aquaculture breeding context, supported by Fisheries and Aquaculture Research and Benchmark Genetics affiliations."
"002-172-276-695-282","retain","retain","agreement","The abstract explicitly concerns Atlantic salmon farming and evaluates warm-water delousing treatment effects on salmon welfare, health, and mortality."
"002-203-281-770-944","exclude","exclude","agreement","Although Atlantic salmon is studied, the record concerns a recreational fishery for landlocked fish in Lake Vänern and provides no commercial aquaculture connection."
"002-255-578-600-713","retain","retain","agreement","The record explicitly studies sea lice on wild and farmed Atlantic salmon (Salmo salar) and discusses impacts on farmed salmon and integrated pest management in aquaculture."
"002-301-979-291-784","exclude","retain","conflict","The study explicitly concerns rainbow trout (Oncorhynchus mykiss) and medicated feed formulations administered to fish, establishing production-related aquaculture relevance."
"002-337-563-810-573","retain","retain","agreement","The study explicitly examines infectious salmon anemia in farmed Atlantic salmon (Salmo salar), establishing both eligible species and commercial aquaculture context."
"002-372-335-722-196","exclude","exclude","agreement","The record is a biographical sketch that only mentions a historical salmon fishery, with no eligible species aquaculture or commercial farming context."
"002-433-940-467-820","","retain","new_retain","The abstract explicitly reports a 9-week aquaculture feeding trial using rainbow trout and a yeast-based diet."
"002-467-105-144-265","retain","retain","agreement","The record explicitly studies farmed Atlantic salmon (Salmo salar) exposed to hydrogen peroxide treatments in aquaculture, with relevance to salmon disease treatment and welfare."
"002-480-489-994-176","exclude","uncertain","historical_uncertain","Atlantic salmon is explicit, but the metadata only mentions a commercial diet in an experimental physiology study and does not clearly establish commercial aquaculture or production context."
"002-552-569-510-338","retain","retain","agreement","The record explicitly concerns Atlantic salmon and infectious salmon anaemia relevant to salmon farmers and aquatic animal health management, establishing commercial aquaculture relevance."
"002-590-307-250-051","","retain","new_retain","The study explicitly examines reared rainbow trout (Oncorhynchus mykiss) in farm ponds, establishing both eligible species and aquaculture context."
"002-649-513-201-086","","exclude","new_exclude","The study concerns commercial salmonids but does not identify an eligible salmon or rainbow trout species, so the species criterion fails."
"002-696-940-890-578","exclude","exclude","agreement","Although Atlantic salmon (Salmo salar) are studied, the record concerns smolts released for subsequent survival and recapture, with experimental cage exposure, not commercial aquaculture."
"002-740-673-697-989","exclude","exclude","agreement","Although the study concerns eligible sockeye salmon (Oncorhynchus nerka), it examines wild spawning fish and mixed-stock fisheries with no commercial aquaculture or farming context."
"002-772-777-017-980","retain","retain","agreement","The title explicitly evaluates salmon farms and their effects on wild sea trout/salmonids, establishing a direct salmon-aquaculture impact context despite the empty abstract."
"002-810-523-638-204","retain","retain","agreement","The record explicitly concerns rainbow trout (Oncorhynchus mykiss) farming at a trout farm, including disease impacts and control in farmed fish."
"002-913-766-385-215","","retain","new_retain","The study explicitly concerns rainbow trout and records production traits from a recirculating aquaculture system and farms, establishing commercial aquaculture relevance."
"002-957-247-793-035","retain","retain","agreement","The record explicitly concerns VHSV transmission involving wrasse used on marine Atlantic salmon farms, establishing both eligible Atlantic salmon and commercial aquaculture relevance."
"002-978-764-151-658","","retain","new_retain","The record explicitly identifies Atlantic salmon (Salmo salar) and rainbow trout (Oncorhynchus mykiss) as aquaculture-relevant species and concerns aquaculture feeding, digestion, and temperature effects."
"003-029-729-771-909","retain","retain","agreement","The abstract explicitly studies production of Atlantic salmon in Norwegian salmon farming, establishing both an eligible species and commercial aquaculture context."
"003-074-085-751-736","exclude","retain","conflict","The study examines eligible pink salmon and explicitly evaluates sea-lice interactions adjacent to commercial salmon farms, establishing relevance to salmon aquaculture."
"003-127-747-461-137","retain","retain","agreement","The record explicitly concerns farmed Atlantic salmon, salmon farms, and farm salmon production, while evaluating sea-lice impacts on wild pink salmon."
"003-183-516-483-28X","retain","retain","agreement","The study explicitly examines farmed Chinook and coho salmon in pen-reared commercial aquaculture and tests bacterins for disease prevention."
"003-226-798-745-731","retain","retain","agreement","The abstract explicitly concerns processing of Atlantic salmon and includes shellfish aquaculture within seafood-industry projects, establishing eligible species and aquaculture/production relevance."
"003-243-112-260-540","retain","retain","agreement","The record explicitly studies farmed Atlantic salmon (Salmo salar) and contaminant levels in Norwegian farmed salmon, establishing both eligible species and commercial aquaculture relevance."
"003-274-104-135-733","retain","retain","agreement","The abstract explicitly concerns farmed Atlantic salmon and sea-lice infestation patterns among marine aquaculture sites in the Eastern Canadian aquaculture industry."
"003-331-118-251-936","","exclude","new_exclude","Although the review concerns finfish aquaculture, it identifies relevant fish only generically as salmonids and does not name an eligible salmon or rainbow trout species."
"003-360-244-882-299","exclude","exclude","agreement","The study concerns wild/experimental brown trout (Salmo trutta), which is not an eligible species, and provides no commercial aquaculture context."
"003-403-682-273-263","retain","retain","agreement","The record explicitly studies farmed Atlantic salmon (Salmo salar) and sea-lice control with emamectin benzoate, directly establishing commercial aquaculture relevance."
"003-417-060-813-971","retain","retain","agreement","The abstract explicitly identifies farmed Atlantic salmon (Salmo salar) raised under commercial conditions and examines processing and fillet quality."
"003-454-725-210-407","","exclude","new_exclude","The review mentions only generic salmonids and provides no commercial aquaculture or farming context."
"003-517-741-334-878","exclude","exclude","agreement","Although Chinook salmon are explicitly identified, the study concerns freshwater nutrient enhancement using salmon carcass analogues for streams with diminished wild populations, not commercial aquaculture."
"003-554-543-583-489","retain","retain","agreement","The abstract explicitly links captive lumpfish production to use as cleaner fish in salmon aquaculture, establishing direct relevance to commercial salmon farming despite the study organism being lumpfish."
"003-624-789-437-773","retain","retain","agreement","The abstract explicitly concerns salmon farming in Norway and identifies Atlantic salmon farming, establishing both eligible species and commercial aquaculture context."
"003-663-504-042-834","exclude","exclude","agreement","Although rainbow trout and an aquaculture industry are mentioned, the study concerns hatchery/wild genetic diversity and stocking policies rather than commercial aquaculture production."
"003-711-565-953-723","retain","retain","agreement","The study explicitly concerns Atlantic salmon (Salmo salar) and develops a vaccine technology for the aquaculture industry, with funding and affiliation from MSD Animal Health."
"003-796-414-609-074","retain","retain","agreement","The abstract explicitly identifies farmed rainbow trout and Atlantic salmon hatcheries/salmonid farms, establishing eligible species and a clear aquaculture disease-management context."
"003-850-511-548-44X","","retain","new_retain","The abstract explicitly studies VHS risk in Danish aquaculture, including freshwater rainbow trout farms, establishing both eligible species and commercial aquaculture context."
"003-904-956-321-96X","retain","retain","agreement","The record explicitly concerns farmed Atlantic salmon and vaccination in salmon aquaculture, with samples from farms, directly establishing eligible species and commercial aquaculture relevance."
"003-940-510-640-972","","exclude","new_exclude","The study concerns IHNV in generically identified salmonid fishes, without an eligible species being specified; aquaculture context is present but the species criterion fails."
"003-999-459-713-975","","exclude","new_exclude","The record concerns an established salmonid farm but identifies neither an eligible salmon species nor explicit salmon farming, so the species criterion is not met."
"004-050-506-171-490","retain","retain","agreement","The record explicitly studies farmed Atlantic salmon (Salmo salar) and organically farmed Norwegian salmon, with contaminants and feed-related production context."
"004-102-150-762-995","retain","retain","agreement","The study explicitly examines wild Atlantic salmon (Salmo salar) smolts and compares health near versus away from commercial salmonid aquaculture, including Atlantic salmon aquaculture operations."
"004-145-892-881-125","","exclude","new_exclude","The study concerns white sturgeon larvae, not an eligible salmon or rainbow trout species; feeding a commercial salmonid diet does not establish eligible-species aquaculture relevance."
"004-188-041-659-999","retain","retain","agreement","The record explicitly concerns rainbow trout (Oncorhynchus mykiss) and links the pathology to cardiovascular disease in farmed salmonids, establishing aquaculture relevance."
"004-229-459-946-328","","retain","new_retain","The abstract explicitly studies farmed rainbow trout (Oncorhynchus mykiss) under controlled rearing conditions and evaluates fishmeal- versus plant-protein-based aquaculture diets."
"004-265-701-800-975","","retain","new_retain","The abstract explicitly identifies rainbow trout as a continental aquaculture species and evaluates its refrigeration, storage, and product-quality processing."
"004-305-648-745-500","retain","exclude","conflict","Although Atlantic salmon and other eligible species are identified, this is a disease survey of wild fish and does not evaluate or meaningfully connect findings to commercial salmon aquaculture."
"004-360-703-936-53X","retain","retain","agreement","The abstract explicitly studies aquacultured rainbow trout and Atlantic salmon and veterinary drug residues in their tissues."
"004-391-009-145-238","retain","retain","agreement","The study explicitly examines farm-raised rainbow trout and Atlantic salmon in aquaculture, including bacterial disease and antimicrobial susceptibility."
"004-448-559-957-673","retain","retain","agreement","The study explicitly tests New Zealand farmed Chinook salmon (Oncorhynchus tshawytscha), establishing both an eligible species and aquaculture context."
