record_id,path_id,hierarchy_path,review_required,review_reason,status,error
72800,V3_090,Production > Breeding and reproduction > Broodstock and reproductive performance,TRUE,Document is a corrigendum with no abstract text; assignment inferred from title only (maternal stress effects on offspring). Please verify which offspring characteristics were measured to confirm selected categories and consider adding behaviour if applicable.,completed,NA
72800,V3_092,"Production > Early life and transfer > Eggs, fry and parr production",TRUE,Document is a corrigendum with no abstract text; assignment inferred from title only (maternal stress effects on offspring). Please verify which offspring characteristics were measured to confirm selected categories and consider adding behaviour if applicable.,completed,NA
72800,V3_112,Production > Fish performance and biology > Growth and development,TRUE,Document is a corrigendum with no abstract text; assignment inferred from title only (maternal stress effects on offspring). Please verify which offspring characteristics were measured to confirm selected categories and consider adding behaviour if applicable.,completed,NA
72800,V3_113,"Production > Fish performance and biology > Physiology, metabolism and biological responses",TRUE,Document is a corrigendum with no abstract text; assignment inferred from title only (maternal stress effects on offspring). Please verify which offspring characteristics were measured to confirm selected categories and consider adding behaviour if applicable.,completed,NA
82524,V3_021,Industry and governance > Sector development > History and regional development,TRUE,"Only the title is provided (no abstract). Classification as regional/sector overview is likely, but insufficient detail to assign additional topics (e.g., companies, policy, production systems) without review.",completed,NA
82525,V3_021,Industry and governance > Sector development > History and regional development,TRUE,"Only the title was provided (no abstract). Assigned to regional/sector development based on title; other applicable topics (e.g. companies, trade, policy, environmental impacts) cannot be determined without the abstract.",completed,NA
72897,V3_021,Industry and governance > Sector development > History and regional development,TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_024,Industry and governance > Firms and industry structure > Business strategy and investment,TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_025,Industry and governance > Economics and performance > Costs and profitability,TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_026,Industry and governance > Economics and performance > Productivity and economic efficiency,TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_027,"Industry and governance > Economics and performance > Economic risk, valuation and impact",TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_028,"Industry and governance > Markets, trade and value chains > Supply, demand and prices",TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_029,"Industry and governance > Markets, trade and value chains > International trade",TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_030,"Industry and governance > Markets, trade and value chains > Value chains and supply chains",TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
73048,V3_016,Environment > Wild populations and ecosystems > Biodiversity and ecosystem effects,TRUE,"Only the title provided; unclear whether this is a natural occurrence, an escapee report, or part of a monitoring dataset. Could also map to escape-related categories if the paper documents an escape. Please review with full text/abstract.",completed,NA
73048,V3_019,Environment > Environmental management > Monitoring and assessment,TRUE,"Only the title provided; unclear whether this is a natural occurrence, an escapee report, or part of a monitoring dataset. Could also map to escape-related categories if the paper documents an escape. Please review with full text/abstract.",completed,NA
82598,V3_051,Methods > Methodological research > Evidence-synthesis and classification methods,TRUE,"Only the title (no abstract body) is available. It clearly identifies a review, so evidence-synthesis is applicable, but the scope of 'latest trends' is unspecified—other topic assignments may also apply but cannot be determined from title alone.",completed,NA
82625,NA,NA,TRUE,Only a title ('Atlantic salmon aquaculture') was provided with no abstract or substantive detail. Insufficient information to assign any specific three-level hierarchy paths; human review recommended.,completed,NA
82626,NA,NA,TRUE,"Only the report title was provided with no abstract or content. Unable to determine substantive objectives, interventions, exposures, outcomes, or applications from the title alone — more content is needed to assign relevant hierarchy paths.",completed,NA
82627,NA,NA,TRUE,No abstract content provided and the title alone ('Atlantic salmon aquaculture subprogram') is too vague to assign any specific three-level topic path confidently. Additional abstract or substantive details needed to classify.,completed,NA
82628,NA,NA,TRUE,Only a newsletter title provided with no abstract or substantive content; insufficient information to assign any specific topic paths. Please provide the article abstract or main content for classification.,completed,NA
82629,NA,NA,TRUE,No abstract or substantive content provided—only a conference handbook title. Insufficient information to determine which specific three-level topic paths apply without speculation.,completed,NA
82630,NA,NA,TRUE,"No substantive content in record—only a conference title provided with no abstract or details on objectives, interventions, exposures, outcomes, or topics. Unable to assign any specific hierarchy path without additional information.",completed,NA
82419,V3_021,Industry and governance > Sector development > History and regional development,TRUE,"Only the article title was provided (no abstract text). Assignments are inferred from the title referencing the Chilean salmon industry crisis and capitalist/economic framing; full abstract may reveal additional or different environmental, governance or social emphases.",completed,NA
82419,V3_024,Industry and governance > Firms and industry structure > Business strategy and investment,TRUE,"Only the article title was provided (no abstract text). Assignments are inferred from the title referencing the Chilean salmon industry crisis and capitalist/economic framing; full abstract may reveal additional or different environmental, governance or social emphases.",completed,NA
82419,V3_027,"Industry and governance > Economics and performance > Economic risk, valuation and impact",TRUE,"Only the article title was provided (no abstract text). Assignments are inferred from the title referencing the Chilean salmon industry crisis and capitalist/economic framing; full abstract may reveal additional or different environmental, governance or social emphases.",completed,NA
82419,V3_028,"Industry and governance > Markets, trade and value chains > Supply, demand and prices",TRUE,"Only the article title was provided (no abstract text). Assignments are inferred from the title referencing the Chilean salmon industry crisis and capitalist/economic framing; full abstract may reveal additional or different environmental, governance or social emphases.",completed,NA
