lens_id,historical_decision,model_decision,category,model_reason
"000-002-032-864-540","","retain","new_retain","The abstract explicitly identifies farmed rainbow trout (Oncorhynchus mykiss) and describes its propagation and dissemination of farming practices in Nepal."
"000-192-697-974-808","","retain","new_retain","The title explicitly identifies farmed Atlantic salmon (Salmo salar) and concerns disease characterization in that aquaculture context."
"000-316-381-638-885","","retain","new_retain","The record explicitly concerns farmed rainbow trout and disease control through immunity, vaccination, and breeding, with publication in Aquaculture."
"000-342-567-047-476","","exclude","new_exclude","The study concerns farmed Arctic charr, which is not an eligible salmon or rainbow trout species; the generic reference to other salmonids does not satisfy the species criterion."
"000-784-773-125-832","","exclude","new_exclude","Although aquaculture is explicit, the relevant fish are identified only generically as salmonids, with no eligible salmon or rainbow trout species or explicit salmon-farming focus."
"000-902-987-499-762","","retain","new_retain","The abstract explicitly studies rainbow trout (Oncorhynchus mykiss) in recirculating aquaculture systems, establishing both eligible species and aquaculture context."
"001-009-514-959-030","","exclude","new_exclude","The record mentions only generic salmonids and commercial vaccines, without identifying an eligible salmon species or establishing a commercial aquaculture study context."
"001-347-053-199-746","","retain","new_retain","The abstract explicitly identifies rainbow trout and discusses 3D cell culture applications in aquaculture research."
"001-379-698-986-532","","exclude","new_exclude","The record concerns a salmonid net-pen/farm but identifies no eligible salmon or rainbow trout species, and generic salmonid terminology does not satisfy the species criterion."
"001-655-335-980-594","","exclude","new_exclude","The record concerns Pacific oysters, not an eligible salmon or rainbow trout species; the incidental mention of triploid rainbow trout does not establish a study of that species."
"001-720-691-263-776","","exclude","new_exclude","Although aquaculture relevance is explicit, the record identifies only generic salmonid models/pathogens and does not name an eligible salmon or rainbow trout species."
"001-756-498-475-990","","retain","new_retain","Rainbow trout are explicitly mentioned, and the title/abstract directly concern producing a fish-feed additive for fish aquaculture."
"002-433-940-467-820","","retain","new_retain","The abstract explicitly reports a 9-week aquaculture feeding trial using rainbow trout and a yeast-based diet."
"002-590-307-250-051","","retain","new_retain","The study explicitly examines reared rainbow trout (Oncorhynchus mykiss) in farm ponds, establishing both eligible species and aquaculture context."
"002-649-513-201-086","","exclude","new_exclude","The study concerns commercial salmonids but does not identify an eligible salmon or rainbow trout species, so the species criterion fails."
"002-913-766-385-215","","retain","new_retain","The study explicitly concerns rainbow trout and records production traits from a recirculating aquaculture system and farms, establishing commercial aquaculture relevance."
"002-978-764-151-658","","retain","new_retain","The record explicitly identifies Atlantic salmon (Salmo salar) and rainbow trout (Oncorhynchus mykiss) as aquaculture-relevant species and concerns aquaculture feeding, digestion, and temperature effects."
"003-331-118-251-936","","exclude","new_exclude","Although the review concerns finfish aquaculture, it identifies relevant fish only generically as salmonids and does not name an eligible salmon or rainbow trout species."
"003-454-725-210-407","","exclude","new_exclude","The review mentions only generic salmonids and provides no commercial aquaculture or farming context."
"003-850-511-548-44X","","retain","new_retain","The abstract explicitly studies VHS risk in Danish aquaculture, including freshwater rainbow trout farms, establishing both eligible species and commercial aquaculture context."
"003-940-510-640-972","","exclude","new_exclude","The study concerns IHNV in generically identified salmonid fishes, without an eligible species being specified; aquaculture context is present but the species criterion fails."
"003-999-459-713-975","","exclude","new_exclude","The record concerns an established salmonid farm but identifies neither an eligible salmon species nor explicit salmon farming, so the species criterion is not met."
"004-145-892-881-125","","exclude","new_exclude","The study concerns white sturgeon larvae, not an eligible salmon or rainbow trout species; feeding a commercial salmonid diet does not establish eligible-species aquaculture relevance."
"004-229-459-946-328","","retain","new_retain","The abstract explicitly studies farmed rainbow trout (Oncorhynchus mykiss) under controlled rearing conditions and evaluates fishmeal- versus plant-protein-based aquaculture diets."
"004-265-701-800-975","","retain","new_retain","The abstract explicitly identifies rainbow trout as a continental aquaculture species and evaluates its refrigeration, storage, and product-quality processing."
"004-696-353-513-690","","exclude","new_exclude","The study concerns Yersinia ruckeri affecting generic farmed salmonids, without identifying an eligible salmon or rainbow trout species."
"005-021-851-420-017","","retain","new_retain","The abstract explicitly identifies rainbow trout in European trout farms and evaluates treatment of farm-associated acanthocephalan infections."
"005-099-574-029-377","","exclude","new_exclude","The article only mentions salmon as one Chilean economic sector and provides no explicit aquaculture, farming, or eligible-species production context."
"005-133-969-926-853","","exclude","new_exclude","The study concerns farmed spotted wolffish and wild lumpfish, while salmonid culture is mentioned only generically as a potential future threat; no eligible salmon or rainbow trout species or explicit salmon-farming context is established."
"005-151-115-375-428","","retain","new_retain","The abstract explicitly identifies rainbow trout and examines PKD in farmed fish and fish farms, establishing both an eligible species and aquaculture context."
"005-483-305-743-608","","exclude","new_exclude","Although aquaculture relevance is explicit, the record identifies the fish only as generic “salmonids,” not an eligible salmon or rainbow trout species."
"005-772-198-703-096","","retain","new_retain","The study concerns Lepeophtheirus salmonis and explicitly addresses threats to salmonid aquaculture, with funding from the Norwegian fisheries and aquaculture research fund."
"005-867-870-112-633","","retain","new_retain","The title explicitly concerns pharmacological treatments for Caligus rogercresseyi (salmon louse) affecting farmed salmonids in Chile, establishing a direct aquaculture relevance."
"005-893-872-502-95X","","exclude","new_exclude","The study concerns generic salmonid aquaculture sites but does not identify an eligible salmon or rainbow trout species, so the species gate fails."
"006-085-103-069-603","","exclude","new_exclude","The record is a medical encyclopedia with no evidence of an eligible salmon/rainbow trout species or commercial aquaculture context."
"006-195-964-952-008","","retain","new_retain","Rainbow trout (Oncorhynchus mykiss) is explicitly included, and the review concerns aquaculture/fish farming and feed-based immunostimulants."
"006-468-458-475-377","","uncertain","new_uncertain","Atlantic salmon and sockeye salmon are mentioned, but the record does not establish that the canned products originated from commercial aquaculture."
"006-579-562-376-434","","retain","new_retain","The title and abstract explicitly identify rainbow trout and commercial aquaculture systems (RAS and flow-through farming), establishing both eligible species and aquaculture context."
"007-535-334-476-646","","exclude","new_exclude","The study concerns Northern shrimp waste, and the only salmon-related reference is a potential astaxanthin supplement for generic salmonid fishes, with no eligible species or salmon aquaculture context established."
"007-583-220-616-651","","exclude","new_exclude","The record concerns South American galaxiid fishes and mentions aquaculture only as a general potential threat; no eligible salmon/rainbow trout species or substantive salmon aquaculture context is established."
"007-801-077-372-860","","exclude","new_exclude","The record identifies only generic salmonids, not an eligible salmon or trout species, and the aquaculture reference is contextual rather than a study of salmon farming itself."
"007-843-205-179-850","","exclude","new_exclude","The study concerns generic salmonid/trout aquaculture and trout hatcheries but does not identify an eligible species such as rainbow trout or salmon."
"008-007-468-040-933","","exclude","new_exclude","Although aquaculture is explicit, the record refers only to generic salmonids and does not identify an eligible salmon or rainbow trout species."
"008-227-950-807-922","","retain","new_retain","The record explicitly references farmed rainbow trout and a rainbow-trout VHSV isolate, establishing both an eligible species and aquaculture connection."
"008-409-882-268-935","","retain","new_retain","Rainbow trout is explicitly identified, and the study uses residues from aquaculture and fish-processing operations, including rainbow-trout pellet sediments."
"008-950-092-800-46X","","retain","new_retain","The study explicitly concerns rainbow trout and develops antimicrobial/immunostimulatory applications for pathogens affecting the aquaculture industry."
"009-056-600-089-695","","exclude","new_exclude","The study concerns brown trout and char in commercial salmonid hatcheries, neither of which is an eligible species, and provides no explicit eligible salmon or rainbow trout context."
"009-131-475-189-212","","exclude","new_exclude","The study examines Senegalese sole, while rainbow trout is mentioned only as an illustrative comparison; aquaculture relevance is limited to Senegalese sole practices, so no eligible species is established."
"009-364-215-652-968","","exclude","new_exclude","The record is a movie review in Oncology Times with no mention of an eligible salmon or rainbow trout species and no aquaculture context."
"009-690-830-178-587","","exclude","new_exclude","Although pink and chum salmon are listed as food items, the study concerns captive spotted seals and provides no evidence that the salmon or their production involves commercial aquaculture."
"009-794-320-343-788","","exclude","new_exclude","The record concerns wild salmon fisheries and generic fish-farming footage but does not establish that the salmon are farmed or that the aquaculture content involves salmon."
"009-875-883-646-760","","retain","new_retain","The abstract explicitly concerns rainbow trout farming and surveys 15 official trout farms and additional family farms in Isparta, establishing both eligible species and commercial aquaculture context."
"010-020-936-502-034","","exclude","new_exclude","The study concerns farmed European grayling (Thymallus thymallus), which is not an eligible salmon or rainbow trout species; the generic “salmonids” keyword does not satisfy the species criterion."
"010-046-887-534-405","","exclude","new_exclude","The record concerns aquaculture broodstock nutrition generally but identifies no eligible salmon or rainbow trout species, mentioning only generic salmonids."
"010-106-983-120-87X","","exclude","new_exclude","The record concerns commercial cage aquaculture but identifies relevant fish only generically as “salmonid species,” without naming an eligible salmon or rainbow trout species."
"010-156-299-784-448","","exclude","new_exclude","Although the record concerns aquaculture disease regulation, it identifies the relevant fish only as generic salmonids and does not specify an eligible salmon or rainbow trout species."
"010-731-232-251-426","","exclude","new_exclude","The record concerns a biomedical assay for salmon calcitonin and provides no eligible salmon species or commercial aquaculture context."
"010-770-673-157-234","","exclude","new_exclude","The study concerns farmed brook trout (Salvelinus fontinalis), which is not an eligible species; rainbow trout is mentioned only as a comparative reference."
"011-000-018-452-689","","exclude","new_exclude","Although the study concerns aquaculture, it examines generic salmonid fish and does not identify an eligible salmon or rainbow trout species."
"011-297-769-415-31X","","exclude","new_exclude","The study concerns salmonid aquaculture but identifies the affected fish only generically as salmonid fish, without naming an eligible species or explicitly referring to salmon farming."
"011-873-240-759-449","","exclude","new_exclude","The record concerns genetically improved farmed Nile tilapia, with salmonids mentioned only generically and no eligible salmon or rainbow trout aquaculture study."
"011-948-233-659-136","","retain","new_retain","The study explicitly examines farmed rainbow trout lines and breeder-relevant production traits, establishing both eligible species and aquaculture context."
"012-126-974-047-042","","exclude","new_exclude","Although VHS is studied in salmonid farms, no eligible salmon or rainbow trout species is explicitly identified; the direct fish context is only generic salmonids and olive flounder."
"012-187-680-422-774","","retain","new_retain","The study explicitly examines diseased rainbow trout in a fish farm, establishing both an eligible species and commercial aquaculture context."
"012-416-757-394-633","","exclude","new_exclude","Although the study concerns eligible masu salmon (Oncorhynchus masou), it examines juveniles in coastal waters and provides no evidence of commercial aquaculture or farming context."
"012-466-871-773-923","","retain","new_retain","The study explicitly concerns rainbow trout (Oncorhynchus mykiss) and is published in the aquaculture-focused journal Aquaculture, establishing the relevant aquaculture context."
"012-677-689-074-683","","exclude","new_exclude","The study examines fresh salmon products for spoilage detection, but does not establish that the salmon are farmed or connected to commercial aquaculture."
"012-765-642-842-18X","","exclude","new_exclude","Although coldwater aquaculture is explicit, the record identifies the relevant fish only as generic “salmonids” and does not name an eligible species."
"013-235-341-321-40X","","exclude","new_exclude","Although the record concerns salmon fillets, it provides no explicit evidence that the salmon originated from commercial aquaculture or farming."
"013-318-903-088-915","","exclude","new_exclude","The study concerns global aquaculture and mentions only generic “salmonids,” without identifying an eligible salmon or rainbow trout species or explicitly referring to salmon farming."
"013-363-205-807-700","","retain","new_retain","The study explicitly examines farmed rainbow trout, including feeding trials and diets intended for trout farming, establishing both eligible species and aquaculture context."
"013-881-605-096-979","","retain","new_retain","The record explicitly concerns rainbow trout fecal solids and a recirculating aquaculture system, linking the study to aquaculture despite measuring sea cucumbers."
"014-183-115-413-108","","exclude","new_exclude","Rainbow trout is mentioned only as the source of an antibody/reference CYP1A1, while the study concerns farmed channel catfish and does not investigate eligible salmon or rainbow-trout aquaculture."
"014-637-426-846-254","","exclude","new_exclude","The title identifies sockeye salmon but concerns timing of escapement from a wild fishery, with no evidence of commercial aquaculture or farming."
"014-685-888-700-918","","uncertain","new_uncertain","The title identifies chum salmon and canned-product quality, but provides no evidence that the salmon originated from commercial aquaculture."
