record_id,title,conflict_type,final_coding,status,rationale
056-749-018-332-932,"Identification and genetic characterization of Saprolegnia parasitica, isolated from farmed and wild fish in Finland","Role only","V3_121=PRIMARY; V3_123=SECONDARY","agreed","Both role allocations were acceptable; prefer epidemiology as primary and diagnosis/detection as secondary."
123-404-554-291-067,"Evaluation of different dietary protein sources on tissue growth and metabolism of rainbow trout","Pathway inclusion","V3_096=PRIMARY; V3_112=SECONDARY; V3_113=SECONDARY","agreed","Growth and metabolism are explicit substantive outcomes, not incidental measurements. Prefer Pass A."
099-035-316-344-435,"Growth of farmed blue mussels (Mytilus edulis L.) in a Norwegian coastal area; comparison of food proxies by DEB modeling","Mixed","V3_110=PRIMARY; V3_043=PRIMARY; V3_005=PRIMARY; V3_020=SECONDARY","agreed","Ontology re-audit: V3_005 remains PRIMARY because release/fate/effects of salmon feed and faecal waste are a central study objective; V3_110 and V3_043 are also PRIMARY; V3_020 SECONDARY; exclude V3_044."
002-142-200-779-757,"Changes in the EPA and DHA content and lipids quality parameters of rainbow trout at individual stages of hot smoking","Role only","V3_072=PRIMARY; V3_078=PRIMARY","agreed","EPA/DHA and lipid-quality changes are an explicit co-primary object of the smoking study. Prefer Pass A."
032-215-431-747-456,"Pathology of amoebic gill disease in Atlantic Salmon (Salmo salar L.)","Pathway inclusion","V3_120=PRIMARY; V3_114=SECONDARY; V3_123=SECONDARY; V3_132=SECONDARY","agreed","Ontology re-audit: disease pathology remains PRIMARY; anatomy/tissues is SECONDARY because lesion morphology and histopathological tissue changes are substantive objectives, not incidental sampling; diagnosis/detection and water/ocean conditions remain SECONDARY."
097-530-935-361-045,"Salmon mortalities associated with a bloom of Alexandrium fundyense in 2003 in the Bay of Fundy, and subsequent early warning approaches for industry","Pathway inclusion","V3_133=PRIMARY; V3_129=SECONDARY; V3_019=SECONDARY","agreed","Mortality is a substantive consequence of the bloom and motivates the monitoring programme. Prefer Pass B."
032-384-942-689-849,"MODELLING ANIMAL SYSTEMS PAPER Adaptation of a non-ruminant nutrient-based growth model to rainbow trout","Pathway inclusion","V3_049=PRIMARY","agreed","Growth and physiology are modelled/validation outcomes; methodological development is the principal contribution. Prefer Pass A."
033-811-323-921-83X,"Marine growth and morphometrics for three populations of Atlantic salmon from Eastern Maine, USA","Role only","V3_112=PRIMARY; V3_114=PRIMARY","agreed","Growth and morphology are both explicit substantive study objectives. Prefer Pass A; Pass B is a low-cost role difference."
142-901-874-742-548,"Cuidando la Patagonia Azul: Prácticas y estrategias de los pueblos originarios para curar las zonas marinas del sur de Chile","Mixed","V3_062=PRIMARY; V3_056=PRIMARY; V3_067=SECONDARY","agreed","Indigenous rights/governance and livelihoods are central; Indigenous knowledge is a substantive secondary theme. Neither pass alone was complete."
038-353-098-644-720,"Atypical Aeromonas salmonicida vapA type V and Vibrio spp. are predominant bacteria recovered from ballan wrasse Labrus bergylta in Scotland","Pathway inclusion","V3_121=PRIMARY; V3_123=SECONDARY","agreed","Epidemiology is the primary contribution; bacterial identification/characterisation is independently substantive and secondary. Prefer Pass B."
