level2,level3,full_label,assignments
Environmental management,Monitoring and assessment,Environmental management > Monitoring and assessment,1099
Environmental management,Mitigation and remediation,Environmental management > Mitigation and remediation,422
Wild populations and ecosystems,Biodiversity and ecosystem effects,Wild populations and ecosystems > Biodiversity and ecosystem effects,608
Wild populations and ecosystems,Parasite and pathogen transmission,Wild populations and ecosystems > Parasite and pathogen transmission,557
Wild populations and ecosystems,Wildlife interactions,Wild populations and ecosystems > Wildlife interactions,114
Waste and emissions,Nutrients and organic waste,Waste and emissions > Nutrients and organic waste,730
Waste and emissions,Chemicals and therapeutants,Waste and emissions > Chemicals and therapeutants,384
Waste and emissions,Plastics and solid waste,Waste and emissions > Plastics and solid waste,29
Environmental stressors,Water and ocean conditions,Environmental stressors > Water and ocean conditions,808
Environmental stressors,Climate change,Environmental stressors > Climate change,148
Environmental stressors,Natural biological hazards,Environmental stressors > Natural biological hazards,134
Physical environment,Sedimentation and benthic impacts,Physical environment > Sedimentation and benthic impacts,356
Physical environment,Water quality,Physical environment > Water quality,332
Physical environment,Hydrodynamics and water flow,Physical environment > Hydrodynamics and water flow,252
Escapes,Post-escape ecology and impacts,Escapes > Post-escape ecology and impacts,408
Escapes,Escape occurrence and causes,Escapes > Escape occurrence and causes,158
Escapes,Escape prevention and containment,Escapes > Escape prevention and containment,72
Resource use and footprint,"Energy, greenhouse gases and life-cycle footprint","Resource use and footprint > Energy, greenhouse gases and life-cycle footprint",152
Resource use and footprint,Marine-resource use,Resource use and footprint > Marine-resource use,97
Resource use and footprint,"Land, crop and water use","Resource use and footprint > Land, crop and water use",52
General environmental issues,Multiple or general environmental impacts,General environmental issues > Multiple or general environmental impacts,281
Climate change,Adaptation and mitigation,Climate change > Adaptation and mitigation,81
