level2,level3,full_label,assignments
Composition and nutritional value,Nutritional composition,Composition and nutritional value > Nutritional composition,744
Composition and nutritional value,Contaminants and residues,Composition and nutritional value > Contaminants and residues,359
Fillet and carcass quality,Physical and visual quality,Fillet and carcass quality > Physical and visual quality,385
Fillet and carcass quality,Yield and body composition,Fillet and carcass quality > Yield and body composition,190
Consumers and consumption,"Preferences, choice and willingness to pay","Consumers and consumption > Preferences, choice and willingness to pay",105
Consumers and consumption,"Labels, origin and certification","Consumers and consumption > Labels, origin and certification",98
Consumers and consumption,"Perceptions, knowledge and trust","Consumers and consumption > Perceptions, knowledge and trust",89
Consumers and consumption,Consumption patterns,Consumers and consumption > Consumption patterns,37
Food safety,Chemical food safety,Food safety > Chemical food safety,214
Food safety,Microbial food safety,Food safety > Microbial food safety,105
Processing and preservation,"Storage, packaging and shelf life","Processing and preservation > Storage, packaging and shelf life",162
Processing and preservation,Primary processing,Processing and preservation > Primary processing,72
Processing and preservation,"Smoking, curing and value addition","Processing and preservation > Smoking, curing and value addition",41
Sensory quality,Sensory properties,Sensory quality > Sensory properties,218
Human nutrition and health,Nutritional benefits and risks,Human nutrition and health > Nutritional benefits and risks,128
Human nutrition and health,Human physiological outcomes,Human nutrition and health > Human physiological outcomes,33
General product issues,Multiple or general product attributes,General product issues > Multiple or general product attributes,31
