lens_id,historical_decision,model_decision,category,model_reason
"000-044-855-401-139","retain","exclude","conflict","The study concerns brown trout, which is not an eligible species, and mentions Atlantic salmon only for comparative genomics; aquaculture is merely a future application rather than the study context."
"001-229-764-611-875","exclude","retain","conflict","The study explicitly examines farm-relevant dietary oils and commercial feeds for Atlantic salmon smolts, establishing both eligible species and aquaculture production context."
"001-926-284-309-021","exclude","retain","conflict","The record explicitly concerns genetically engineered Chinook-derived salmon intended for growers to raise to market size in contained aquaculture systems, directly establishing eligible species and commercial aquaculture relevance."
"002-301-979-291-784","exclude","retain","conflict","The study explicitly concerns rainbow trout (Oncorhynchus mykiss) and medicated feed formulations administered to fish, establishing production-related aquaculture relevance."
"003-074-085-751-736","exclude","retain","conflict","The study examines eligible pink salmon and explicitly evaluates sea-lice interactions adjacent to commercial salmon farms, establishing relevance to salmon aquaculture."
"004-305-648-745-500","retain","exclude","conflict","Although Atlantic salmon and other eligible species are identified, this is a disease survey of wild fish and does not evaluate or meaningfully connect findings to commercial salmon aquaculture."
"005-650-698-664-980","exclude","retain","conflict","The title explicitly identifies rainbow trout and fish feeds, while the Aquaculture journal and Institute of Aquaculture Research affiliation establish an aquaculture production context."
"005-720-262-096-194","exclude","retain","conflict","The study explicitly concerns sockeye salmon (Oncorhynchus nerka) liver meal and its potential use in aquaculture feed formulations."
"006-027-690-315-032","exclude","retain","conflict","The study explicitly concerns cage aquaculture and aquaculture-derived waste, and uses rainbow trout (Oncorhynchus mykiss) to produce labelled fishmeal for aquaculture feed."
"006-327-425-760-447","retain","exclude","conflict","The study concerns Caligus rogercresseyi and generic fish farming, but does not explicitly identify an eligible salmon species or salmon aquaculture context."
"006-781-596-354-275","exclude","retain","conflict","The record explicitly concerns pink salmon and sea lice, with aquaculture identified as a keyword in the context of salmon population dynamics and infestation impacts."
