rule_id,direction,pattern,score,description
title_country,source,title,10,Country or demonym appears in title
strong_study_context,positive,conducted in|conducted at|study was carried out in|study was undertaken in|study was performed in|study area|study site|study sites|sampled in|sampled from|samples were collected in|samples were collected from|collected in|collected from|obtained in|obtained from|farms in|farm in|fish farms in|aquaculture farms in|sites in|site in|located in|location in|reared in|raised in|cultured in|produced in|originating from|originated from|from farms in|from hatcheries in|from rivers in|from lakes in|from streams in|from waters in|case study in|surveyed in|questionnaire in|fieldwork in,6,Strong study-location wording
study_entity,positive,stakeholder|stakeholders|farmer|farmers|producer|producers|company|companies|industry|industries|farm|farms|hatchery|hatcheries|river|rivers|lake|lakes|stream|streams|coast|coastal|site|sites|facility|facilities|population|populations|community|communities,3,Country/demonym describes substantive study entities
study_action,positive,sampled|surveyed|interviewed|collected|cultured|reared|raised|harvested|monitored|measured|tested|assessed|analysed|analyzed|examined|investigated,3,Country/demonym appears near a study action
aquaculture_context,positive,aquaculture|salmon farm|salmon farms|trout farm|trout farms|fish farm|fish farms|hatchery|hatcheries|producer|producers|production sector|aquaculture industry,3,Country/demonym appears in aquaculture context
background_context,negative,previous studies in|previous research in|reported in|reported from|compared with|compared to|unlike|elsewhere in|for example in|such as|including|globally|worldwide|internationally|reviewed studies from,-4,"Background, comparison or illustrative context"
publisher_context,negative,copyright|all rights reserved|creative commons|publisher|published by|springer|elsevier|wiley|taylor & francis|available online|received:|accepted:,-20,Publisher or copyright boilerplate
translation_context,negative,translate with|translation|language selector|english arabic hebrew|select language,-20,Translation widget or language boilerplate
software_context,negative,software|version|package|plugin|toolbox|algorithm implemented in|coded in|programmed in,-12,Software or analytical tool context
manufacturer_context,negative,manufacturer|manufactured by|supplied by|provided by|purchased from|equipment|instrument|microscope|camera|reader|incubator|analyser|analyzer,-12,Manufacturer or equipment supplier context
organisation_context,negative,university|institute|laboratory|laboratories|department|faculty|research centre|research center|headquarters|office located,-6,Affiliation or organisational location context
citation_context,negative,et al\.|doi:|vol\.|volume|issue|pp\.|references|bibliography,-5,Citation-heavy or bibliographic context
