level2,level3,full_label,assignments
Governance and policy,Policy and regulation,Governance and policy > Policy and regulation,766
Governance and policy,Licensing and spatial governance,Governance and policy > Licensing and spatial governance,252
Governance and policy,"Compliance, enforcement and participation","Governance and policy > Compliance, enforcement and participation",182
Governance and policy,Certification and standards,Governance and policy > Certification and standards,88
Sector development,History and regional development,Sector development > History and regional development,462
Sector development,Innovation and technological transition,Sector development > Innovation and technological transition,364
Economics and performance,Costs and profitability,Economics and performance > Costs and profitability,377
Economics and performance,"Economic risk, valuation and impact","Economics and performance > Economic risk, valuation and impact",201
Economics and performance,Productivity and economic efficiency,Economics and performance > Productivity and economic efficiency,110
"Markets, trade and value chains","Supply, demand and prices","Markets, trade and value chains > Supply, demand and prices",253
"Markets, trade and value chains",Value chains and supply chains,"Markets, trade and value chains > Value chains and supply chains",187
"Markets, trade and value chains",International trade,"Markets, trade and value chains > International trade",154
"Markets, trade and value chains","Retail, branding and marketing","Markets, trade and value chains > Retail, branding and marketing",44
Firms and industry structure,Business strategy and investment,Firms and industry structure > Business strategy and investment,240
Firms and industry structure,"Companies, ownership and concentration","Firms and industry structure > Companies, ownership and concentration",103
