path_id,level_1,level_2,level_3,hierarchy_path,definition,include_when,exclude_when,required_subject_terms,required_focus_terms,alternative_standalone_cues,supporting_terms_from_old_ontology,prompt_logic_note
V3_001,Environment,General environmental issues,Multiple or general environmental impacts,Environment > General environmental issues > Multiple or general environmental impacts,Broad environmental issues spanning multiple environmental topics.,"Use when several environmental issues are discussed collectively or as a framework, and no single issue is analysed in sufficient depth to justify a specific code.",Do not use alongside every specific environmental code. Prefer the specific code(s) when one or two environmental issues are the substantive focus.,General environmental issues,,,"environmental disturbance, environmental impact, anthropogenic impact, impact environment, affect environment, environmental problem, environmental consequenc, habitat effect, habitat impact, habitat degrad, environmental degrad, environmental damag, damage environm, degraded environment, pollut, habitat, environment, environmental health, environmental risk, limnolog, environmental effect, contaminat, ecological consequenc, GHG, greenhouse gas, green house gas, greenhouse emission, green house emission, carbon dioxide, CO2, carbon emission, carbon footprint, broad environmental reviews, sustainability assessments",Use only where several issues in the domain are substantively addressed and no specific issue dominates.
V3_002,Environment,Resource use and footprint,Marine-resource use,Environment > Resource use and footprint > Marine-resource use,Environmental demand associated with marine feed resources.,"Use when forage-fish use, fish-in fish-out or marine dependency is evaluated environmentally.",Upstream supply without environmental assessment belongs under Inputs.,"Marine-resource use, Forage-fish demand, fish-in fish-out, marine dependency",,,"Forage-fish demand, fish-in fish-out, marine dependency","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_003,Environment,Resource use and footprint,"Land, crop and water use","Environment > Resource use and footprint > Land, crop and water use","Land, crop or water footprints associated with salmon production.",Use when resource use is evaluated environmentally.,Farm water availability as an input belongs under Inputs.,"Land, crop and water use, Land use, crop dependency, water footprint",,,"Land use, crop dependency, water footprint","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_004,Environment,Resource use and footprint,"Energy, greenhouse gases and life-cycle footprint","Environment > Resource use and footprint > Energy, greenhouse gases and life-cycle footprint","Energy use, greenhouse-gas emissions or integrated environmental footprint.","Use for LCA, carbon footprint or environmental-performance studies.",Do not use energy supply as an input without environmental assessment.,"Energy, greenhouse gases and life-cycle footprint, Carbon footprint, LCA, energy demand",,,"Carbon footprint, LCA, energy demand","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_005,Environment,Waste and emissions,Nutrients and organic waste,Environment > Waste and emissions > Nutrients and organic waste,"Release, fate or effects of nutrients, faeces, feed waste, effluent or sludge.",Use when waste outputs are substantive.,Routine water-quality measurements without farm-output questions should not be coded here.,"Nutrients and organic waste, Nitrogen, phosphorus, sludge, organic enrichment",,,"sludge, water quality, nitrogen waste, water pollution, eutrophic, nutrient discharge, farm waste, farm-derived waste, waste feed, feed waste, fecal matter, foecal matter, foeces, feces, sediment, benthos, overfeeding, overfed, phosphorus emission, nutrient emission, nitrogen emission, phosphorous emission, phosphorus discharge, phosphorous discharge, nitrogen discharge, P emission, P discharge, urea, organic matter, biological oxygen demand, aquaculture waste, waste degradation, excess waste, excess feed, seabed, organic enrichment, nitrificat, phosphorus releas, nitrogen releas, nutrient releas, benthic enrichment, release of effluent, effluent releas, effluent, farm discharge, farm effluent, farm inputs, nutrient waste, emission waste, organic waste, organic particle, uneaten feed, fish feces, fish faeces, nitrogen level, nitrogen concentration, phosphorus level, phosphorus concentration, phosphorous level, phosphorous concentration, nutrient transport, waste treatment, elevated nitrogen, elevated nutrient, elevated phosphorus, elevated phosphorous, ammoni, leaching, organic footprint, particulate, releasing effluent, releasing nitrogen, releasing phosphorus, releasing phosophorous, releasing nutrient, wasted feed, salmon manure, salmon waste, waste plume, ammoniacal nitrogen, waste loading, aquaculture effluent, P loading, N loading, wastewater, farm sludge, fish sludge, salmon sludge, nutrients discharge, waste water, wasteload, waste load, faecal waste, fecal waste, ammonium enrich, nitrogen enrich, phosphorus enrich, enrichment of nitrogen, enrichment of ammon, enrichment of phosph, nitrogenous waste, farm nutrient, aquacultural waste, Nitrogen, phosphorus","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_006,Environment,Waste and emissions,Chemicals and therapeutants,Environment > Waste and emissions > Chemicals and therapeutants,"Environmental release or effects of medicines, pesticides, copper or related chemicals.",Use when fate or environmental effects are substantive.,Treatment efficacy belongs under Production.,"Chemicals and therapeutants, Pesticide discharge, antibiotics, copper, chemical pollution",,,"Pesticide discharge, antibiotics, copper","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_007,Environment,Waste and emissions,Plastics and solid waste,Environment > Waste and emissions > Plastics and solid waste,"Plastic, gear or solid-waste generation and impacts.",Use when material waste is substantive.,Do not use infrastructure supply.,"Plastics and solid waste, Nets, plastics, marine litter, plastic debris, plastic pollution, plastics, waste plastic, plastic litter, plastic marine debris",,,,"Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_008,Environment,Physical environment,Hydrodynamics and water flow,Environment > Physical environment > Hydrodynamics and water flow,"Effects of farms or structures on currents, mixing, flushing, circulation or water flow.",Use when physical water movement around pens or sites is a substantive question.,Do not use routine current measurements only for site description.,"Hydrodynamics and water flow, Current flow, mixing, flushing, residence time",,,"flow past, flow through, hydrodynamic, hydro dynamic, drag, biofoul, water blockage, clean net, fouled net, clean cage, fouled cage, clean pen fouled pen, pen clean, cage clean, net clean, flushing, flushing rate, hydrolic retention, flow field, antifoul, drag force, water movement, water flow, flow of water, movement of water, turbulen, sea conditions, exposed farm, exposed condition, exposed location, exposed cages, exposed sea cage, waves, wavy, wave energy, storm, tidal current, exposed to current, strong current, high wave, seakeeping, sea keeping, wave resistan, net deformation, wave respons, the wake, water current, current velocity, sheltered location, sheltered site, wave frequenc, wave height, hydroelastic, fluid dynamic, Current flow, mixing, residence time","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_009,Environment,Physical environment,Sedimentation and benthic impacts,Environment > Physical environment > Sedimentation and benthic impacts,"Deposition, sediment change and benthic ecological effects.",Use when seabed or sediment impacts are substantive.,Do not use hydrodynamic modelling without sediment or benthic outcomes.,"Sedimentation and benthic impacts, Sediment enrichment, benthos, deposition",,,"Sediment enrichment, benthos, deposition","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_010,Environment,Physical environment,Water quality,Environment > Physical environment > Water quality,"Changes in oxygen, nutrients, turbidity or water chemistry around farms.",Use when environmental water quality is substantive.,Rearing-water control for fish production belongs under Production.,"Water quality, Dissolved oxygen, turbidity, water chemistry",,,"Dissolved oxygen, turbidity, water chemistry, water quality","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_011,Environment,Escapes,Escape occurrence and causes,Environment > Escapes > Escape occurrence and causes,"Frequency, magnitude, patterns or causes of escape events.",Use when escapes are quantified or explained.,Do not use ecological effects unless they are also analysed.,"Escape occurrence and causes, Escape numbers, containment failure, escape trends","occurrence, frequency, magnitude, pattern, cause, failure, escape event",,"escapee, accidental release, accidentally release, escaping, naturalized, naturalize, naturalised, naturalise, accidental introduc, accidentally introduc, stray, fish escape, salmon escape, escaped fish, escaped salmon, salmon have escaped, cage escapes, escaped, escapement, human error, net failure, broken net, broken pen, Escape numbers, containment failure, escape trends","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_012,Environment,Escapes,Escape prevention and containment,Environment > Escapes > Escape prevention and containment,"Prevention, containment or recapture of escaped salmon.",Use when containment or mitigation is substantive.,Do not split by engineering approach.,"Escape prevention and containment, Containment, cage failure prevention, recapture","prevention, containment, recapture, mitigation",,"mitigate escape, mitigating escape, escape mitigat, prevent escap, preventing escap, Containment, cage failure prevention, recapture","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_013,Environment,Escapes,Post-escape ecology and impacts,Environment > Escapes > Post-escape ecology and impacts,"Behaviour, survival, dispersal or ecological and genetic consequences of escaped salmon.",Use when what happens after escape is substantive.,Do not use simple escape counts without post-escape outcomes.,"Post-escape ecology and impacts, Dispersal, survival, introgression, competition","survival, dispersal, behaviour, introgression, competition, ecological impact",,"naturalized, naturalize, naturalised, naturalise, accidental introduc, accidentally introduc, escape dispersal, escape survival, introgression, escape competition","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_014,Environment,Wild populations and ecosystems,Parasite and pathogen transmission,Environment > Wild populations and ecosystems > Parasite and pathogen transmission,Transfer of sea lice or pathogens between farms and wild populations.,Use when wild populations or environmental transmission are substantive.,Disease within farmed stocks belongs under Production.,"Parasite and pathogen transmission, pathogen transfer, disease transmission, wild popluation infection",,,"disease spillover, pathogen transfer, disease transmission","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_015,Environment,Wild populations and ecosystems,Wildlife interactions,Environment > Wild populations and ecosystems > Wildlife interactions,"Interactions with predators, birds, marine mammals or other wildlife.","Use when wildlife response, conflict or mortality is substantive.",Do not use general biodiversity studies unless interaction is specific.,"Wildlife interactions, Seals, birds, marine mammals, predator control",,,"mammal deter, seal, seals, birds, marine mammals","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_016,Environment,Wild populations and ecosystems,Biodiversity and ecosystem effects,Environment > Wild populations and ecosystems > Biodiversity and ecosystem effects,"Effects on species assemblages, food webs, biodiversity or ecosystem function.",Use when ecosystem-level or community-level outcomes are substantive.,Do not use single-species farm-health studies.,"Biodiversity and ecosystem effects, Biodiversity, food webs, ecological communities",,,"macroinvertebrate, benthic organism, ecological consequenc, ecological impact, ecological effect, affect ecolog, impact ecolog, ecological degrad, ecological damag, biodiversity, species diversity, species richness, extinct, biota, macrofauna, wild fish, wild trout, wild salmon, wild populations, native species, native populations, native fish, community structure, ecosystem, aquatic plant, macrophytes, seal interaction, mammal interaction, fur seal, sea lion, eurasian otter, otter, Lutra lutra, humpback whale, whale, benthic meiofauna, benthic fauna, meiofauna, macrobenth, Chilean dolphin, dolphin, Cephalorhynchus eutropia, showy leopard frog, frog, Lithobates spectabilis, macroalga, pollock, Pollachius virens, phocid seals, earless seal, pinniped, seal predat, seal behaviour, seal behavior, by seals, with seals, from seals, seal feed, mammal, harbor seal, Phoca vitulina, harbour porpoise, Phocoena phocoena, porpoise, bird, Orcinus orca, orca, epiphytic invertebrate, marine mammal, Arctocephalus, Callorhinus, Lagenorhynchus australis, Peale’s dolphin, wild cod, migrating cod, migratory cod, Otaria flavescens, Otaria byronia, mussel, Mytilus edulis, oyster, community assemblage, benthic assemblage, benthic macrofauna, megafauna, fauna, plankton communit, habitat, Biodiversity, food webs, ecological communities","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_017,Environment,Environmental stressors,Climate change,Environment > Environmental stressors > Climate change,"Impacts of climate change or climate-driven environmental conditions on farmed salmon, production performance, health, welfare or farm operations.","Use when climate change, long-term warming, marine heatwaves or another explicitly climate-driven exposure is assessed for its effects on farmed fish or salmon production.",Do not use for climate adaptation or mitigation strategies; use Environment > Climate change > Adaptation and mitigation. Do not use short-term temperature or water-condition experiments without explicit climate framing; use Water and ocean conditions.,"climate change, global warming, climate-driven warming, marine heatwave, climate risk, climate vulnerability","impact, effect, exposure, vulnerability, response, productivity, growth, mortality, health, welfare, production","marine heatwave, climate-induced warming, climate-driven temperature change","climate change, global warming, sea surface temperature, heatwave, heat wave, temperature extreme, elevated temperature, sea temperature, climate induced, climate-induced, climate warming, high temperatures, climate risk, climate vulnerability","Require explicit climate framing together with a substantive effect on farmed salmon, production or farm operations."
V3_018,Environment,Climate change,Adaptation and mitigation,Environment > Climate change > Adaptation and mitigation,Adaptation to climate change or reduction of climate impacts.,Use when climate adaptation or mitigation is substantive.,Do not use general environmental mitigation without climate framing.,"Adaptation and mitigation, Climate resilience, decarbonisation","adaptation, resilience, mitigation, decarbonisation",,"Climate resilience, decarbonisation","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_019,Environment,Environmental management,Monitoring and assessment,Environment > Environmental management > Monitoring and assessment,"Environmental monitoring, indicators or impact assessment.",Use when the environmental assessment programme is substantive.,"If method development itself is the main contribution, use Methods.","Monitoring and assessment, Monitoring programmes, indicators, impact assessment","monitoring, assessment, indicator, surveillance, impact assessment",,"Monitoring programmes, indicators, impact assessment","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_020,Environment,Environmental management,Mitigation and remediation,Environment > Environmental management > Mitigation and remediation,"Environmental mitigation, remediation and site planning",Use when management of environmental impacts is substantive.,Do not use routine farm management without environmental purpose.,"Mitigation, remediation and carrying capacity, Fallowing, remediation, zoning","mitigation, remediation, fallowing, zoning,  site planning",,"passively aerated layered compost, layered compost, compost, alkaline hydroly, Fallowing, remediation, zoning","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_021,Industry and governance,Sector development,History and regional development,Industry and governance > Sector development > History and regional development,"Historical emergence, expansion or regional development of salmon aquaculture.",Use when development of the sector over time or place is the substantive subject.,Geography is recorded separately.,"History and regional development, History of salmon farming, regional expansion",,,"History of salmon farming, regional expansion","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_022,Industry and governance,Sector development,Innovation and technological transition,Industry and governance > Sector development > Innovation and technological transition,"Sector-level innovation, adoption or transition.",Use when technological or organisational change across the industry is analysed.,Do not use a single technology trial without sectoral analysis.,"Innovation and technological transition, Innovation systems, technology adoption, transition",,,"Innovation systems, technology adoption, transition, novelty, technological development","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_023,Industry and governance,Firms and industry structure,"Companies, ownership and concentration","Industry and governance > Firms and industry structure > Companies, ownership and concentration","Firm ownership, corporate structure, consolidation or concentration.",Use when companies or industry structure are substantive units of analysis.,Do not use firms mentioned only as suppliers or funders.,"Companies, ownership and concentration, Ownership, mergers, concentration, corporate actors",,,"Mowi, AquaGen, Aqua Gen, Salmobreed, Stofnfiskur, Benchmark, SalMar, Nova Sea, Cermaq, Marine Harvest, PanFish, Pan Fish, Rauma Grup, Rauma Group, Fanad, Feenstra, Lerøy, Grieg Nordlaks, Hofseth, AquaChile, Cooke Aquaculture, Bakkafrost, Multiexport, Blumar, Salmones Camanchaca, Australis Seafood, Alsaker Fjordbruk, Nordlaks, Tassal, Sinkaberg-Hansen, Sinkaberg Hansen, Bremnes Seashore, Norway Royal Salmon, Salmones Antarctica, Atlantic Sapphire, Nordic Aquafarms, Fish Farm UAE, Andfjord Salmon, Danish Salmon, Pure Salmon, AquaMaof, Kuterra, Samherji, Swiss Lachs, Sustainable Blue, Cape d’Or, Aquabounty, West Creek Aquaculture, FRD Japan, Cape Nordic Corporation, Shandong Ocean, Jurassic Salmon, Superior Fresh, Whole Oceans, Vikings Label, Salmon Evolution, Losna Seafood, Bordemar, Hiddenfjord, Huon Aquaculture, Proximar Seafood, Scottish Sea Farms, New Zealand King Salmon, Clear Springs, Troutlodge, SalmoNor, Midt-Norsk Havbruk, WesterRoss, Wester Ross, Native Hebridean Scottish, Lochlander, Loch Duart, Salmon Scotland, Glenarm, Organic Sea Harvest, Sea Harvest, Scottish Salmon Company, Native Hebridean Salmon, Cypress Island, Meridian Salmon, Sjølaks, Grieg Seafood, Australis, Admiral Fish, Firda Sjøfarmer, Huon, Firda, Brilliant Fiskeoppdrett, Fiskeoppdrett, Scan Am, Sjøtroll Havbruk, Ownership, mergers, concentration, corporate actors","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_024,Industry and governance,Firms and industry structure,Business strategy and investment,Industry and governance > Firms and industry structure > Business strategy and investment,"Firm strategy, finance, investment or business decision-making.",Use when commercial strategy is substantive.,Do not use farm-level biological productivity alone.,"Business strategy and investment, Investment, business strategy, finance",,,"return on investment, return-on-investment, venture analys, financial viability, financially viable, investment, debt, liquidity, capital structure, bankrupt, private capital, capital accum, increase in capital, financial, Investment, business strategy, finance","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_025,Industry and governance,Economics and performance,Costs and profitability,Industry and governance > Economics and performance > Costs and profitability,"Economic costs, profitability, revenues or margins.",Use when economic performance is substantive.,Do not use biological productivity without economic analysis.,"Costs and profitability, Production costs, profit, margins",,,"profit, operating cost, cost-effective, cost-benefit, production cost, economic profit, forgone profit, economic viability, cost analys, economic yield, feeding cost, regulatory cost, Production costs, margins","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_026,Industry and governance,Economics and performance,Productivity and economic efficiency,Industry and governance > Economics and performance > Productivity and economic efficiency,Economic or technical efficiency at farm or sector level.,Use when efficiency is analysed economically.,Feed efficiency alone belongs under Production.,"Productivity and economic efficiency, Technical efficiency, frontier analysis, productivity",,,"energy efficiency, Pareto frontier, frontier analysis, Malmquist productivity index, Malmquist index, productivity loss, stochastic frontier, Technical efficiency, productivity","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_027,Industry and governance,Economics and performance,"Economic risk, valuation and impact","Industry and governance > Economics and performance > Economic risk, valuation and impact","Economic risk, uncertainty, valuation, cost-benefit or wider economic impact.",Use when economic appraisal is central.,Community livelihoods belong under People and society.,"Economic risk, valuation and impact, Cost-benefit, valuation, risk, economic impact",,,"economic loss, economic evaluation, consistent valuation, contingent valuation, Cost-benefit, valuation, risk, economic impact","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_028,Industry and governance,"Markets, trade and value chains","Supply, demand and prices","Industry and governance > Markets, trade and value chains > Supply, demand and prices","Market supply, demand, price formation or market dynamics.",Use when market-level outcomes are substantive.,Consumer attitudes belong under People and society.,"Supply, demand and prices, Prices, demand, supply",,,"price risk, price volatilit, future market, spot price, commodity market, stochastic price, price dynamic, market power, consumer market, price, price earning, price-earning, pricing, price uncertainty, price premium, market price, price elastic, price inelastic, futures market, retail price, price analysis, salmon market, market for salmon, trout market, market for trout, salmon price, trout price, fish price, Prices, demand, supply","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_029,Industry and governance,"Markets, trade and value chains",International trade,"Industry and governance > Markets, trade and value chains > International trade","Imports, exports, trade flows or trade policy.",Use when international exchange is substantive.,Do not use countries merely mentioned as markets.,"International trade, Exports, imports, trade flows",,,"salmon export, fish export, export of salmon, export of fish, export market, export growth, Exports, imports, trade flows","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_030,Industry and governance,"Markets, trade and value chains",Value chains and supply chains,"Industry and governance > Markets, trade and value chains > Value chains and supply chains","Organisation, governance or performance of salmon value and supply chains.",Use when chain relationships or logistics are substantive.,Feed-resource sourcing alone may belong under Inputs.,"Value chains and supply chains, Value-chain governance, logistics, chain structure",,,"trade, supply chain, feed supply, food supply, supply network, end-to-end, trading, commodity flow, procurement, value chain, supply logistics, production chain, supply pipeline, sustainab, food security, food sovereignty, food supply chain, forage fish demand, nutritional security, commodity chain, circular econom, marketing chain, marketing channel, Value-chain governance, logistics, chain structure","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_031,Industry and governance,"Markets, trade and value chains","Retail, branding and marketing","Industry and governance > Markets, trade and value chains > Retail, branding and marketing","Retailing, branding, promotion or product positioning.",Use when commercial marketing is substantive.,Consumer responses belong under People and society.,"Retail, branding and marketing, Branding, retail, marketing",,,"Branding, retail, marketing","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_032,Industry and governance,Governance and policy,Policy and regulation,Industry and governance > Governance and policy > Policy and regulation,"Public policy, law or regulation governing salmon aquaculture.",Use when governance rules or reform are substantive.,Do not use regulatory background only.,"Policy and regulation, Regulation, policy, legal frameworks",,,"legislat, legal, regulation, authoris, authoriz, policy, policies, politic, govern, certified, certify, certificate, certification, labelling, mandatory, administrative, restrictions, licens, licenc, inspections, health regulation, decision-making, decision making, evidence-based decision, evidence based decision, evidence-based polic, evidence based polic, evidence-informed decision, evidence informed decision, evidence-informed polic, evidence informed polic, aquaculture guideline, management guideline, environmental impact assessment, judicial, registration, spatial planning, organic label, welfare label, advisories, advisory, jurisdict, prohibit, aquaculture planning, planning, welfare standard, management strateg, management framework, regulatory, aquacultural standards, aquaculture standards, farming standards, farm standards, taxes, agencies, audit, regulatory framework, Regulation, legal frameworks","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_033,Industry and governance,Governance and policy,Licensing and spatial governance,Industry and governance > Governance and policy > Licensing and spatial governance,"Licensing, concessions, zoning or spatial planning.",Use when allocation of space or permission to operate is central.,Environmental carrying capacity without governance focus belongs under Environment.,"Licensing and spatial governance, Licensing, zoning, concessions",,,"Licensing, zoning, concessions, permit, license","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_034,Industry and governance,Governance and policy,Certification and standards,Industry and governance > Governance and policy > Certification and standards,"Private or public certification, standards or ecolabelling systems.",Use when certification systems or compliance are substantive.,Consumer response to labels belongs under People and society.,"Certification and standards, ASC, organic standards, certification",,,"ASC, organic standards, certification","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
