lens_id,historical_decision,model_decision,category,model_reason
"002-480-489-994-176","exclude","uncertain","historical_uncertain","Atlantic salmon is explicit, but the metadata only mentions a commercial diet in an experimental physiology study and does not clearly establish commercial aquaculture or production context."
"005-190-839-663-670","exclude","uncertain","historical_uncertain","Atlantic salmon is explicit, but the metadata does not establish a commercial aquaculture or farming context; “commercial importance” alone is insufficient."
"006-468-458-475-377","","uncertain","new_uncertain","Atlantic salmon and sockeye salmon are mentioned, but the record does not establish that the canned products originated from commercial aquaculture."
"008-172-445-838-490","exclude","uncertain","historical_uncertain","Coho salmon are explicitly identified and held at two hatcheries, but the metadata do not establish that these hatchery operations were commercial aquaculture rather than non-commercial or release-oriented facilities."
"008-838-977-185-062","exclude","uncertain","historical_uncertain","Rainbow trout (Oncorhynchus mykiss) is explicit and the study concerns a processed product, but the supplied metadata does not establish that the trout originated from commercial aquaculture."
"009-774-502-306-365","retain","uncertain","historical_uncertain","The study explicitly involves chum salmon in hatchery net pens, but the metadata do not establish commercial aquaculture or clarify whether the hatchery fish are solely for release or stock enhancement."
"012-887-564-608-691","exclude","uncertain","historical_uncertain","Rainbow trout and medicated-feed treatment are explicit, but the metadata do not clearly establish commercial farming or aquaculture production context."
"014-685-888-700-918","","uncertain","new_uncertain","The title identifies chum salmon and canned-product quality, but provides no evidence that the salmon originated from commercial aquaculture."
"019-103-194-592-851","exclude","uncertain","historical_uncertain","The study explicitly examines Atlantic salmon and a potential dietary feed ingredient, but the supplied metadata do not establish that the salmon or feeding context is commercial aquaculture."
"019-621-443-475-112","retain","uncertain","historical_uncertain","The study involves Chinook salmon fingerlings transferred from freshwater to seawater and notes aquaculture disease relevance, but does not clearly establish that the fish or habitats were part of commercial aquaculture."
"021-474-566-017-749","exclude","uncertain","historical_uncertain","The record identifies commercial Alaska salmon oils but does not establish an eligible salmon species or that the oils originate from commercial aquaculture rather than wild-caught salmon."
"026-601-499-779-479","retain","uncertain","historical_uncertain","The title establishes a commercial salmon industry but does not specify an eligible salmon species or clearly establish aquaculture rather than wild capture fisheries."
"031-278-700-503-815","retain","uncertain","historical_uncertain","The record identifies salmon and rainbow trout and reports intake from domestic farmed fish, but does not explicitly establish that the salmon or rainbow trout were farmed."
"045-741-191-523-470","exclude","uncertain","historical_uncertain","Rainbow trout is explicit, but experimental rearing and commercial diets do not clearly establish a commercial aquaculture or production context."
"050-555-891-854-918","","uncertain","new_uncertain","Atlantic salmon is explicit and commercial food production is described, but the metadata do not establish that the salmon originated from aquaculture."
"051-390-776-043-806","","uncertain","new_uncertain","The title identifies caged salmon but does not establish commercial aquaculture, and experimental caging alone is insufficient to confirm farming context."
"056-101-919-511-581","retain","uncertain","historical_uncertain","Rainbow trout is explicit and a commercial vaccine is tested, but the supplied metadata does not clearly establish a commercial aquaculture or farm-production context."
"058-808-216-227-527","exclude","uncertain","historical_uncertain","The record clearly concerns salmon processing and commercial production, but does not establish that the salmon was farmed or derived from aquaculture."
"061-260-719-575-205","retain","uncertain","historical_uncertain","The record explicitly concerns hatchery-reared rainbow trout and Pacific salmon in net pens, but does not establish that these facilities or fish involved commercial aquaculture rather than research or non-commercial hatchery operations."
"062-542-459-415-062","exclude","uncertain","historical_uncertain","Coho and king salmon are hatchery-reared in raceways, but the metadata do not establish commercial aquaculture or indicate whether the hatchery fish were solely for release or stock enhancement."
"063-185-266-096-898","","uncertain","new_uncertain","The contents explicitly mention a Chilean salmon-sector case study, but do not establish that it concerns commercial salmon aquaculture rather than another salmon-sector context."
"064-339-658-135-660","","uncertain","new_uncertain","The title explicitly identifies Chinook salmon and a feed-related study, but does not establish commercial aquaculture or farming context."
"073-983-619-087-671","","uncertain","new_uncertain","The title explicitly concerns forage fish use in aquaculture but does not identify an eligible salmon or rainbow trout species or establish that the aquaculture context involves them."
"081-591-903-919-524","exclude","uncertain","historical_uncertain","The record clearly concerns Chinook salmon and hatchery feeding with commercial diets, but it does not establish commercial aquaculture or distinguish production from non-commercial hatchery use."
"086-713-245-584-869","exclude","uncertain","historical_uncertain","Rainbow trout is explicitly identified and studied as a food product, but the metadata does not establish that the fish were farmed or aquaculture-derived."
"087-793-981-469-139","retain","uncertain","historical_uncertain","Atlantic salmon is explicit, but the metadata does not establish that the disease-diagnostic study concerns farmed or commercial aquaculture fish."
"089-255-452-958-417","","uncertain","new_uncertain","The record clearly concerns salmon products, but it does not establish that the salmon originated from commercial aquaculture rather than wild capture."
"089-417-360-109-548","","uncertain","new_uncertain","The title establishes an aquaculture disease focus but does not identify an eligible salmon or rainbow trout species or otherwise specify salmon aquaculture."
"095-328-008-267-267","retain","uncertain","historical_uncertain","The study explicitly involves Salmo salar and mentions relevance to aquaculture, but the supplied metadata does not establish that the cells or infection model represent commercial or farmed salmon production."
"102-009-453-153-974","","uncertain","new_uncertain","Atlantic salmon is explicit, but the record does not establish that the salmon products originated from commercial aquaculture rather than wild sources."
"112-179-449-298-446","exclude","uncertain","historical_uncertain","Chinook salmon and commercial feed are identified, but the metadata does not clearly establish a commercial aquaculture or farming context."
"117-125-568-533-347","","uncertain","new_uncertain","The title explicitly identifies rainbow trout and formalin disinfection, but the supplied metadata do not clearly establish a commercial aquaculture or farming context."
"124-378-304-334-685","","uncertain","new_uncertain","The record is explicitly about aquaculture and mentions salmonids, but no eligible salmon species or explicit salmon-farming context is identified."
"132-048-961-119-860","exclude","uncertain","historical_uncertain","Atlantic salmon (Salmo salar) is explicit, but the metadata do not establish a commercial aquaculture or farming context for the infection study."
"138-854-351-359-386","","uncertain","new_uncertain","Rainbow trout is explicitly identified, but the metadata does not establish that the fish or virus isolate came from commercial aquaculture."
"140-573-869-816-941","retain","uncertain","historical_uncertain","Atlantic salmon is explicit, and the abstract mentions residual material from fisheries and aquaculture, but does not establish that the salmon material specifically originated from commercial aquaculture."
"147-286-784-238-401","exclude","uncertain","historical_uncertain","The record explicitly concerns Atlantic salmon and frozen commercial-quality processing, but does not establish that the salmon originated from commercial aquaculture rather than wild catch."
