level2,level3,full_label,assignments
Fish health,Other diseases - General,Fish health > Other diseases - General,1830
Fish health,Other diseases - Prevention and treatment,Fish health > Other diseases - Prevention and treatment,1336
Fish health,Other diseases - Epidemiology,Fish health > Other diseases - Epidemiology,1322
Fish health,Other diseases - Diagnosis and detection,Fish health > Other diseases - Diagnosis and detection,795
Fish health,Sea lice control and treatment,Fish health > Sea lice control and treatment,610
Fish health,Sea lice epidemiology,Fish health > Sea lice epidemiology,487
Fish health,Non-infectious disease and disorders,Fish health > Non-infectious disease and disorders,476
Fish health,Fish response to sea lice,Fish health > Fish response to sea lice,181
Fish health,Sea lice impacts,Fish health > Sea lice impacts,150
Fish health,General fish health,Fish health > General fish health,104
Fish performance and biology,"Physiology, metabolism and biological responses","Fish performance and biology > Physiology, metabolism and biological responses",2765
Fish performance and biology,Growth and development,Fish performance and biology > Growth and development,1934
Fish performance and biology,Anatomy and tissues,Fish performance and biology > Anatomy and tissues,843
Fish performance and biology,Behaviour,Fish performance and biology > Behaviour,489
Feed and nutrition,Feed additives and supplements,Feed and nutrition > Feed additives and supplements,736
Feed and nutrition,Alternative feed ingredients,Feed and nutrition > Alternative feed ingredients,703
Feed and nutrition,Feed efficiency and conversion,Feed and nutrition > Feed efficiency and conversion,573
Feed and nutrition,Nutrient requirements and feed formulation,Feed and nutrition > Nutrient requirements and feed formulation,521
Feed and nutrition,Digestibility and nutrient utilisation,Feed and nutrition > Digestibility and nutrient utilisation,357
Feed and nutrition,Feeding strategies and appetite,Feed and nutrition > Feeding strategies and appetite,355
Feed and nutrition,Conventional feed ingredients,Feed and nutrition > Conventional feed ingredients,97
Breeding and reproduction,Selective breeding and genetic improvement,Breeding and reproduction > Selective breeding and genetic improvement,979
Breeding and reproduction,Maturation and sterility control,Breeding and reproduction > Maturation and sterility control,341
Breeding and reproduction,Broodstock and reproductive performance,Breeding and reproduction > Broodstock and reproductive performance,320
Stress and mortality,Mortality and survival,Stress and mortality > Mortality and survival,934
Stress and mortality,Stress,Stress and mortality > Stress,536
Production systems and technology,Recirculating aquaculture systems,Production systems and technology > Recirculating aquaculture systems,372
Production systems and technology,Marine cage systems,Production systems and technology > Marine cage systems,319
Production systems and technology,Land-based and flow-through systems,Production systems and technology > Land-based and flow-through systems,214
Production systems and technology,Integrated multi-trophic aquaculture,Production systems and technology > Integrated multi-trophic aquaculture,193
Production systems and technology,Automation and precision aquaculture,Production systems and technology > Automation and precision aquaculture,137
Production systems and technology,Offshore and exposed-site systems,Production systems and technology > Offshore and exposed-site systems,85
Husbandry and farm management,Environmental control,Husbandry and farm management > Environmental control,443
Husbandry and farm management,Stocking density and crowding,Husbandry and farm management > Stocking density and crowding,192
Husbandry and farm management,Biosecurity and farm hygiene,Husbandry and farm management > Biosecurity and farm hygiene,161
Husbandry and farm management,"Handling, grading and transport","Husbandry and farm management > Handling, grading and transport",94
Fish welfare,Welfare assessment,Fish welfare > Welfare assessment,378
Fish welfare,Welfare risks and consequences,Fish welfare > Welfare risks and consequences,262
Fish welfare,Welfare improvement,Fish welfare > Welfare improvement,171
Early life and transfer,"Eggs, fry and parr production","Early life and transfer > Eggs, fry and parr production",235
Early life and transfer,Seawater transfer and acclimation,Early life and transfer > Seawater transfer and acclimation,182
Early life and transfer,Smoltification and smolt quality,Early life and transfer > Smoltification and smolt quality,168
Harvest and slaughter,Harvest and pre-slaughter management,Harvest and slaughter > Harvest and pre-slaughter management,63
Harvest and slaughter,Stunning and slaughter,Harvest and slaughter > Stunning and slaughter,45
