topic,path,n
Monitoring and sampling methods,Methods > Methodological research > Monitoring and sampling methods,548
Statistical and modelling methods,Methods > Methodological research > Statistical and modelling methods,532
Welfare assessment and risks,Production > Fish welfare > Welfare assessment,376
By-products and waste as inputs,Inputs and resources > Circularity > By-products and waste as inputs,285
"Sensors, imaging and measurement","Methods > Methodological research > Sensors, imaging and measurement methods",281
Welfare assessment and risks,Production > Fish welfare > Welfare risks and consequences,261
Antimicrobial resistance and One Health,People and society > Public health > Antimicrobial resistance and One Health,234
Smoltification and smolt quality,Production > Early life and transfer > Smoltification and smolt quality,167
"Energy, greenhouse gases and life-cycle footprint","Environment > Resource use and footprint > Energy, greenhouse gases and life-cycle footprint",149
Climate change,Environment > Environmental stressors > Climate change,147
Automation and precision aquaculture,Production > Production systems and technology > Automation and precision aquaculture,136
Novel feed resources,Inputs and resources > Feed-resource supply > Novel feed resources,114
Climate change,Environment > Climate change > Adaptation and mitigation,81
Plastics and solid waste,Environment > Waste and emissions > Plastics and solid waste,29
