record_id,path_id,hierarchy_path,review_required,review_reason,status,error
72571,V3_001,Environment > General environmental issues > Multiple or general environmental impacts,FALSE,,completed,NA
72571,V3_004,"Environment > Resource use and footprint > Energy, greenhouse gases and life-cycle footprint",FALSE,,completed,NA
72571,V3_005,Environment > Waste and emissions > Nutrients and organic waste,FALSE,,completed,NA
72571,V3_043,Inputs and resources > Circularity > By-products and waste as inputs,FALSE,,completed,NA
72571,V3_044,Inputs and resources > Circularity > Nutrient recovery,FALSE,,completed,NA
72571,V3_045,Inputs and resources > Circularity > Resource efficiency,FALSE,,completed,NA
72571,V3_051,Methods > Methodological research > Evidence-synthesis and classification methods,FALSE,,completed,NA
82447,NA,NA,FALSE,,completed,NA
82460,V3_092,"Production > Early life and transfer > Eggs, fry and parr production",FALSE,,completed,NA
82460,V3_097,Production > Feed and nutrition > Feed additives and supplements,FALSE,,completed,NA
82460,V3_112,Production > Fish performance and biology > Growth and development,FALSE,,completed,NA
72656,V3_074,Product > Fillet and carcass quality > Physical and visual quality,FALSE,,completed,NA
72656,V3_075,Product > Fillet and carcass quality > Yield and body composition,FALSE,,completed,NA
72656,V3_098,Production > Feed and nutrition > Nutrient requirements and feed formulation,FALSE,,completed,NA
72656,V3_101,Production > Feed and nutrition > Feed efficiency and conversion,FALSE,,completed,NA
72656,V3_112,Production > Fish performance and biology > Growth and development,FALSE,,completed,NA
72661,V3_122,Production > Fish health > Other diseases - Prevention and treatment,FALSE,,completed,NA
72733,V3_089,Production > Breeding and reproduction > Selective breeding and genetic improvement,FALSE,,completed,NA
72781,V3_021,Industry and governance > Sector development > History and regional development,FALSE,,completed,NA
72781,V3_028,"Industry and governance > Markets, trade and value chains > Supply, demand and prices",FALSE,,completed,NA
72781,V3_029,"Industry and governance > Markets, trade and value chains > International trade",FALSE,,completed,NA
72781,V3_030,"Industry and governance > Markets, trade and value chains > Value chains and supply chains",FALSE,,completed,NA
82509,V3_027,"Industry and governance > Economics and performance > Economic risk, valuation and impact",FALSE,,completed,NA
82509,V3_028,"Industry and governance > Markets, trade and value chains > Supply, demand and prices",FALSE,,completed,NA
72800,V3_090,Production > Breeding and reproduction > Broodstock and reproductive performance,TRUE,Document is a corrigendum with no abstract text; assignment inferred from title only (maternal stress effects on offspring). Please verify which offspring characteristics were measured to confirm selected categories and consider adding behaviour if applicable.,completed,NA
72800,V3_092,"Production > Early life and transfer > Eggs, fry and parr production",TRUE,Document is a corrigendum with no abstract text; assignment inferred from title only (maternal stress effects on offspring). Please verify which offspring characteristics were measured to confirm selected categories and consider adding behaviour if applicable.,completed,NA
72800,V3_112,Production > Fish performance and biology > Growth and development,TRUE,Document is a corrigendum with no abstract text; assignment inferred from title only (maternal stress effects on offspring). Please verify which offspring characteristics were measured to confirm selected categories and consider adding behaviour if applicable.,completed,NA
72800,V3_113,"Production > Fish performance and biology > Physiology, metabolism and biological responses",TRUE,Document is a corrigendum with no abstract text; assignment inferred from title only (maternal stress effects on offspring). Please verify which offspring characteristics were measured to confirm selected categories and consider adding behaviour if applicable.,completed,NA
82513,V3_122,Production > Fish health > Other diseases - Prevention and treatment,FALSE,,completed,NA
82513,V3_123,Production > Fish health > Other diseases - Diagnosis and detection,FALSE,,completed,NA
72841,V3_097,Production > Feed and nutrition > Feed additives and supplements,FALSE,,completed,NA
72841,V3_098,Production > Feed and nutrition > Nutrient requirements and feed formulation,FALSE,,completed,NA
72841,V3_100,Production > Feed and nutrition > Digestibility and nutrient utilisation,FALSE,,completed,NA
82524,V3_021,Industry and governance > Sector development > History and regional development,TRUE,"Only the title is provided (no abstract). Classification as regional/sector overview is likely, but insufficient detail to assign additional topics (e.g., companies, policy, production systems) without review.",completed,NA
82525,V3_021,Industry and governance > Sector development > History and regional development,TRUE,"Only the title was provided (no abstract). Assigned to regional/sector development based on title; other applicable topics (e.g. companies, trade, policy, environmental impacts) cannot be determined without the abstract.",completed,NA
82526,V3_021,Industry and governance > Sector development > History and regional development,FALSE,,completed,NA
82526,V3_028,"Industry and governance > Markets, trade and value chains > Supply, demand and prices",FALSE,,completed,NA
82526,V3_029,"Industry and governance > Markets, trade and value chains > International trade",FALSE,,completed,NA
82526,V3_063,People and society > Food security and access > Food availability and nutritional security,FALSE,,completed,NA
82352,V3_005,Environment > Waste and emissions > Nutrients and organic waste,FALSE,,completed,NA
82352,V3_133,Environment > Environmental stressors > Natural biological hazards,FALSE,,completed,NA
72897,V3_021,Industry and governance > Sector development > History and regional development,TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_024,Industry and governance > Firms and industry structure > Business strategy and investment,TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_025,Industry and governance > Economics and performance > Costs and profitability,TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_026,Industry and governance > Economics and performance > Productivity and economic efficiency,TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_027,"Industry and governance > Economics and performance > Economic risk, valuation and impact",TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_028,"Industry and governance > Markets, trade and value chains > Supply, demand and prices",TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_029,"Industry and governance > Markets, trade and value chains > International trade",TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72897,V3_030,"Industry and governance > Markets, trade and value chains > Value chains and supply chains",TRUE,Only the title was available (no abstract). Assignments are inferred from title; please verify with full abstract/text.,completed,NA
72962,V3_049,Methods > Methodological research > Statistical and modelling methods,FALSE,,completed,NA
72962,V3_114,Production > Fish performance and biology > Anatomy and tissues,FALSE,,completed,NA
72962,V3_124,Production > Fish health > Non-infectious disease and disorders,FALSE,,completed,NA
73048,V3_016,Environment > Wild populations and ecosystems > Biodiversity and ecosystem effects,TRUE,"Only the title provided; unclear whether this is a natural occurrence, an escapee report, or part of a monitoring dataset. Could also map to escape-related categories if the paper documents an escape. Please review with full text/abstract.",completed,NA
73048,V3_019,Environment > Environmental management > Monitoring and assessment,TRUE,"Only the title provided; unclear whether this is a natural occurrence, an escapee report, or part of a monitoring dataset. Could also map to escape-related categories if the paper documents an escape. Please review with full text/abstract.",completed,NA
82598,V3_051,Methods > Methodological research > Evidence-synthesis and classification methods,TRUE,"Only the title (no abstract body) is available. It clearly identifies a review, so evidence-synthesis is applicable, but the scope of 'latest trends' is unspecified—other topic assignments may also apply but cannot be determined from title alone.",completed,NA
82614,V3_053,People and society > Labour and employment > Employment and job creation,FALSE,,completed,NA
82614,V3_054,People and society > Labour and employment > Working conditions and occupational health,FALSE,,completed,NA
73164,V3_052,People and society > General social issues > Multiple or general social impacts,FALSE,,completed,NA
73164,V3_056,People and society > Communities and livelihoods > Livelihoods and income,FALSE,,completed,NA
73164,V3_057,People and society > Communities and livelihoods > Local and rural development,FALSE,,completed,NA
73164,V3_059,People and society > Communities and livelihoods > Conflict and social licence,FALSE,,completed,NA
73164,V3_060,"People and society > Equity, justice and rights > Distribution of benefits and harms",FALSE,,completed,NA
73164,V3_068,People and society > Culture and knowledge > Public discourse and representation,FALSE,,completed,NA
73164,V3_110,Production > Production systems and technology > Integrated multi-trophic aquaculture,FALSE,,completed,NA
82625,NA,NA,TRUE,Only a title ('Atlantic salmon aquaculture') was provided with no abstract or substantive detail. Insufficient information to assign any specific three-level hierarchy paths; human review recommended.,completed,NA
82626,NA,NA,TRUE,"Only the report title was provided with no abstract or content. Unable to determine substantive objectives, interventions, exposures, outcomes, or applications from the title alone — more content is needed to assign relevant hierarchy paths.",completed,NA
82627,NA,NA,TRUE,No abstract content provided and the title alone ('Atlantic salmon aquaculture subprogram') is too vague to assign any specific three-level topic path confidently. Additional abstract or substantive details needed to classify.,completed,NA
82628,NA,NA,TRUE,Only a newsletter title provided with no abstract or substantive content; insufficient information to assign any specific topic paths. Please provide the article abstract or main content for classification.,completed,NA
82629,NA,NA,TRUE,No abstract or substantive content provided—only a conference handbook title. Insufficient information to determine which specific three-level topic paths apply without speculation.,completed,NA
82630,NA,NA,TRUE,"No substantive content in record—only a conference title provided with no abstract or details on objectives, interventions, exposures, outcomes, or topics. Unable to assign any specific hierarchy path without additional information.",completed,NA
82656,V3_086,"Product > Consumers and consumption > Perceptions, knowledge and trust",FALSE,,completed,NA
82656,V3_087,"Product > Consumers and consumption > Labels, origin and certification",FALSE,,completed,NA
73425,V3_098,Production > Feed and nutrition > Nutrient requirements and feed formulation,FALSE,,completed,NA
73425,V3_113,"Production > Fish performance and biology > Physiology, metabolism and biological responses",FALSE,,completed,NA
73425,V3_114,Production > Fish performance and biology > Anatomy and tissues,FALSE,,completed,NA
73425,V3_124,Production > Fish health > Non-infectious disease and disorders,FALSE,,completed,NA
73425,V3_132,Environment > Environmental stressors > Water and ocean conditions,FALSE,,completed,NA
73426,V3_112,Production > Fish performance and biology > Growth and development,FALSE,,completed,NA
73426,V3_114,Production > Fish performance and biology > Anatomy and tissues,FALSE,,completed,NA
73426,V3_124,Production > Fish health > Non-infectious disease and disorders,FALSE,,completed,NA
73426,V3_126,Production > Fish welfare > Welfare risks and consequences,FALSE,,completed,NA
73504,V3_089,Production > Breeding and reproduction > Selective breeding and genetic improvement,FALSE,,completed,NA
73579,V3_068,People and society > Culture and knowledge > Public discourse and representation,FALSE,,completed,NA
73579,V3_133,Environment > Environmental stressors > Natural biological hazards,FALSE,,completed,NA
73765,V3_120,Production > Fish health > Other diseases - General,FALSE,,completed,NA
73830,V3_088,Production > Fish health > General fish health,FALSE,,completed,NA
73830,V3_120,Production > Fish health > Other diseases - General,FALSE,,completed,NA
82419,V3_021,Industry and governance > Sector development > History and regional development,TRUE,"Only the article title was provided (no abstract text). Assignments are inferred from the title referencing the Chilean salmon industry crisis and capitalist/economic framing; full abstract may reveal additional or different environmental, governance or social emphases.",completed,NA
82419,V3_024,Industry and governance > Firms and industry structure > Business strategy and investment,TRUE,"Only the article title was provided (no abstract text). Assignments are inferred from the title referencing the Chilean salmon industry crisis and capitalist/economic framing; full abstract may reveal additional or different environmental, governance or social emphases.",completed,NA
82419,V3_027,"Industry and governance > Economics and performance > Economic risk, valuation and impact",TRUE,"Only the article title was provided (no abstract text). Assignments are inferred from the title referencing the Chilean salmon industry crisis and capitalist/economic framing; full abstract may reveal additional or different environmental, governance or social emphases.",completed,NA
82419,V3_028,"Industry and governance > Markets, trade and value chains > Supply, demand and prices",TRUE,"Only the article title was provided (no abstract text). Assignments are inferred from the title referencing the Chilean salmon industry crisis and capitalist/economic framing; full abstract may reveal additional or different environmental, governance or social emphases.",completed,NA
82419,V3_056,People and society > Communities and livelihoods > Livelihoods and income,TRUE,"Only the article title was provided (no abstract text). Assignments are inferred from the title referencing the Chilean salmon industry crisis and capitalist/economic framing; full abstract may reveal additional or different environmental, governance or social emphases.",completed,NA
82778,V3_032,Industry and governance > Governance and policy > Policy and regulation,TRUE,"Only a title provided with no abstract or details. Classification based on title interpretation that this is an administrative/policy subprogram; more content needed to confirm and identify any additional applicable categories (e.g. licensing, sector development, compliance).",completed,NA
82838,V3_021,Industry and governance > Sector development > History and regional development,TRUE,Only the article title is provided (no abstract or content). Assignment based on likely regional/sector focus; additional content needed to confirm and identify other applicable categories.,completed,NA
82856,V3_047,Methods > Methodological research > Monitoring and sampling methods,TRUE,"Only the title was provided (no abstract/methods/results). Assignments inferred from a 2-year survey of gills (anatomy/tissues, fish-health surveillance and monitoring); please review with full text for confirmation.",completed,NA
82856,V3_088,Production > Fish health > General fish health,TRUE,"Only the title was provided (no abstract/methods/results). Assignments inferred from a 2-year survey of gills (anatomy/tissues, fish-health surveillance and monitoring); please review with full text for confirmation.",completed,NA
82856,V3_114,Production > Fish performance and biology > Anatomy and tissues,TRUE,"Only the title was provided (no abstract/methods/results). Assignments inferred from a 2-year survey of gills (anatomy/tissues, fish-health surveillance and monitoring); please review with full text for confirmation.",completed,NA
82856,V3_121,Production > Fish health > Other diseases - Epidemiology,TRUE,"Only the title was provided (no abstract/methods/results). Assignments inferred from a 2-year survey of gills (anatomy/tissues, fish-health surveillance and monitoring); please review with full text for confirmation.",completed,NA
82914,V3_088,Production > Fish health > General fish health,FALSE,,completed,NA
82914,V3_113,"Production > Fish performance and biology > Physiology, metabolism and biological responses",FALSE,,completed,NA
74446,V3_019,Environment > Environmental management > Monitoring and assessment,FALSE,,completed,NA
74446,V3_021,Industry and governance > Sector development > History and regional development,FALSE,,completed,NA
74446,V3_032,Industry and governance > Governance and policy > Policy and regulation,FALSE,,completed,NA
74446,V3_033,Industry and governance > Governance and policy > Licensing and spatial governance,FALSE,,completed,NA
74446,V3_035,"Industry and governance > Governance and policy > Compliance, enforcement and participation",FALSE,,completed,NA
74467,V3_113,"Production > Fish performance and biology > Physiology, metabolism and biological responses",FALSE,,completed,NA
74467,V3_114,Production > Fish performance and biology > Anatomy and tissues,FALSE,,completed,NA
82963,NA,NA,TRUE,Only title provided ('Return to the seas') with no abstract or substantive content — insufficient information to assign any specific hierarchy paths. Please provide the abstract or more details.,completed,NA
74820,V3_120,Production > Fish health > Other diseases - General,FALSE,,completed,NA
74831,V3_120,Production > Fish health > Other diseases - General,FALSE,,completed,NA
74838,V3_133,Environment > Environmental stressors > Natural biological hazards,FALSE,,completed,NA
74928,V3_088,Production > Fish health > General fish health,FALSE,,completed,NA
74928,V3_105,Production > Husbandry and farm management > Biosecurity and farm hygiene,FALSE,,completed,NA
74928,V3_121,Production > Fish health > Other diseases - Epidemiology,FALSE,,completed,NA
74928,V3_122,Production > Fish health > Other diseases - Prevention and treatment,FALSE,,completed,NA
74969,NA,NA,TRUE,Only the article title was provided with no abstract or substantive content; cannot determine applicable topics from title alone.,completed,NA
75069,V3_120,Production > Fish health > Other diseases - General,FALSE,,completed,NA
75097,V3_021,Industry and governance > Sector development > History and regional development,TRUE,"Only the title was provided and no abstract/content; socio-spatial framing suggests regional development, livelihoods and cultural/discourse aspects but scope is ambiguous. Recommend human review to confirm which social dimensions the paper addresses.",completed,NA
75097,V3_056,People and society > Communities and livelihoods > Livelihoods and income,TRUE,"Only the title was provided and no abstract/content; socio-spatial framing suggests regional development, livelihoods and cultural/discourse aspects but scope is ambiguous. Recommend human review to confirm which social dimensions the paper addresses.",completed,NA
75097,V3_057,People and society > Communities and livelihoods > Local and rural development,TRUE,"Only the title was provided and no abstract/content; socio-spatial framing suggests regional development, livelihoods and cultural/discourse aspects but scope is ambiguous. Recommend human review to confirm which social dimensions the paper addresses.",completed,NA
75097,V3_066,"People and society > Culture and knowledge > Culture, identity and traditions",TRUE,"Only the title was provided and no abstract/content; socio-spatial framing suggests regional development, livelihoods and cultural/discourse aspects but scope is ambiguous. Recommend human review to confirm which social dimensions the paper addresses.",completed,NA
75097,V3_068,People and society > Culture and knowledge > Public discourse and representation,TRUE,"Only the title was provided and no abstract/content; socio-spatial framing suggests regional development, livelihoods and cultural/discourse aspects but scope is ambiguous. Recommend human review to confirm which social dimensions the paper addresses.",completed,NA
75114,V3_046,Methods > Methodological research > Diagnostic and laboratory methods,FALSE,,completed,NA
75114,V3_089,Production > Breeding and reproduction > Selective breeding and genetic improvement,FALSE,,completed,NA
75114,V3_090,Production > Breeding and reproduction > Broodstock and reproductive performance,FALSE,,completed,NA
75218,V3_046,Methods > Methodological research > Diagnostic and laboratory methods,FALSE,,completed,NA
75302,NA,NA,TRUE,"Only a brief title ('Shrimp and Salmon Farming') was provided with no abstract or substantive detail about objectives, interventions, exposures, outcomes, or applications. Cannot reliably assign any specific three-level paths without additional information.",completed,NA
75303,V3_021,Industry and governance > Sector development > History and regional development,TRUE,"Only the article title was provided (no abstract). Assignments are based on the title's emphasis on ‘farming’ as a sector-level example and the phrase ‘mass market’ suggesting markets, value chains and retail; however the lack of abstract limits certainty and other relevant categories may apply.",completed,NA
75303,V3_028,"Industry and governance > Markets, trade and value chains > Supply, demand and prices",TRUE,"Only the article title was provided (no abstract). Assignments are based on the title's emphasis on ‘farming’ as a sector-level example and the phrase ‘mass market’ suggesting markets, value chains and retail; however the lack of abstract limits certainty and other relevant categories may apply.",completed,NA
75303,V3_030,"Industry and governance > Markets, trade and value chains > Value chains and supply chains",TRUE,"Only the article title was provided (no abstract). Assignments are based on the title's emphasis on ‘farming’ as a sector-level example and the phrase ‘mass market’ suggesting markets, value chains and retail; however the lack of abstract limits certainty and other relevant categories may apply.",completed,NA
75303,V3_031,"Industry and governance > Markets, trade and value chains > Retail, branding and marketing",TRUE,"Only the article title was provided (no abstract). Assignments are based on the title's emphasis on ‘farming’ as a sector-level example and the phrase ‘mass market’ suggesting markets, value chains and retail; however the lack of abstract limits certainty and other relevant categories may apply.",completed,NA
75520,V3_016,Environment > Wild populations and ecosystems > Biodiversity and ecosystem effects,FALSE,,completed,NA
83132,V3_073,Product > Composition and nutritional value > Contaminants and residues,FALSE,,completed,NA
83132,V3_081,Product > Food safety > Chemical food safety,FALSE,,completed,NA
75896,V3_046,Methods > Methodological research > Diagnostic and laboratory methods,FALSE,,completed,NA
75896,V3_121,Production > Fish health > Other diseases - Epidemiology,FALSE,,completed,NA
75896,V3_123,Production > Fish health > Other diseases - Diagnosis and detection,FALSE,,completed,NA
83205,V3_021,Industry and governance > Sector development > History and regional development,FALSE,,completed,NA
83225,V3_031,"Industry and governance > Markets, trade and value chains > Retail, branding and marketing",FALSE,,completed,NA
83225,V3_071,Product > General product issues > Multiple or general product attributes,FALSE,,completed,NA
83233,V3_021,Industry and governance > Sector development > History and regional development,TRUE,"Only the article title was available. The selected paths are plausible given an analysis of the 'potential and constraints' of Norwegian salmon aquaculture, but the abstract/full text is needed to confirm which of these topics are substantively addressed.",completed,NA
83233,V3_022,Industry and governance > Sector development > Innovation and technological transition,TRUE,"Only the article title was available. The selected paths are plausible given an analysis of the 'potential and constraints' of Norwegian salmon aquaculture, but the abstract/full text is needed to confirm which of these topics are substantively addressed.",completed,NA
83233,V3_024,Industry and governance > Firms and industry structure > Business strategy and investment,TRUE,"Only the article title was available. The selected paths are plausible given an analysis of the 'potential and constraints' of Norwegian salmon aquaculture, but the abstract/full text is needed to confirm which of these topics are substantively addressed.",completed,NA
83233,V3_025,Industry and governance > Economics and performance > Costs and profitability,TRUE,"Only the article title was available. The selected paths are plausible given an analysis of the 'potential and constraints' of Norwegian salmon aquaculture, but the abstract/full text is needed to confirm which of these topics are substantively addressed.",completed,NA
83233,V3_026,Industry and governance > Economics and performance > Productivity and economic efficiency,TRUE,"Only the article title was available. The selected paths are plausible given an analysis of the 'potential and constraints' of Norwegian salmon aquaculture, but the abstract/full text is needed to confirm which of these topics are substantively addressed.",completed,NA
83233,V3_028,"Industry and governance > Markets, trade and value chains > Supply, demand and prices",TRUE,"Only the article title was available. The selected paths are plausible given an analysis of the 'potential and constraints' of Norwegian salmon aquaculture, but the abstract/full text is needed to confirm which of these topics are substantively addressed.",completed,NA
83233,V3_030,"Industry and governance > Markets, trade and value chains > Value chains and supply chains",TRUE,"Only the article title was available. The selected paths are plausible given an analysis of the 'potential and constraints' of Norwegian salmon aquaculture, but the abstract/full text is needed to confirm which of these topics are substantively addressed.",completed,NA
83233,V3_032,Industry and governance > Governance and policy > Policy and regulation,TRUE,"Only the article title was available. The selected paths are plausible given an analysis of the 'potential and constraints' of Norwegian salmon aquaculture, but the abstract/full text is needed to confirm which of these topics are substantively addressed.",completed,NA
76068,V3_116,Production > Fish health > Sea lice epidemiology,TRUE,"The paper is molecular characterization of salmon louse genes; V3_116 (sea lice) is directly relevant, but it also fits general pathogen biology (V3_120). Please confirm both assignments are appropriate.",completed,NA
76068,V3_120,Production > Fish health > Other diseases - General,TRUE,"The paper is molecular characterization of salmon louse genes; V3_116 (sea lice) is directly relevant, but it also fits general pathogen biology (V3_120). Please confirm both assignments are appropriate.",completed,NA
76070,V3_117,Production > Fish health > Sea lice control and treatment,FALSE,,completed,NA
76070,V3_120,Production > Fish health > Other diseases - General,FALSE,,completed,NA
76071,V3_120,Production > Fish health > Other diseases - General,FALSE,,completed,NA
76074,V3_095,Production > Feed and nutrition > Conventional feed ingredients,FALSE,,completed,NA
