conflict_number,lens_id,human_decision,disposition
1,101-524-252-075-279,RETAIN,pending_canonical_correction
2,037-568-740-921-740,EXCLUDE,removed_by_salmonid_search_correction
3,081-663-616-425-10X,RETAIN,pending_canonical_correction
4,181-019-961-971-441,RETAIN,pending_canonical_correction
5,037-804-532-085-09X,RETAIN,pending_canonical_correction
6,059-618-523-716-418,RETAIN,pending_canonical_correction
7,077-772-072-370-566,EXCLUDE,agrees_canonical
8,144-886-916-347-010,RETAIN,pending_canonical_correction
9,197-328-149-029-180,RETAIN,pending_canonical_correction
10,101-228-741-317-05X,RETAIN,pending_canonical_correction
11,131-865-794-966-862,EXCLUDE,pending_canonical_correction
12,108-947-038-313-466,RETAIN,pending_canonical_correction
13,104-131-824-440-107,RETAIN,pending_canonical_correction
14,025-001-287-660-489,RETAIN,pending_canonical_correction
15,106-918-405-834-242,RETAIN,pending_canonical_correction
16,019-425-877-639-235,RETAIN,pending_canonical_correction
17,074-444-082-214-821,EXCLUDE,agrees_canonical
18,077-317-591-932-239,RETAIN,pending_canonical_correction
19,043-342-262-879-140,RETAIN,pending_canonical_correction
20,083-214-395-925-424,RETAIN,pending_canonical_correction
21,014-914-557-959-999,EXCLUDE,agrees_canonical
22,108-457-696-197-16X,RETAIN,pending_canonical_correction
23,051-777-061-710-907,RETAIN,pending_canonical_correction
24,104-311-436-226-203,EXCLUDE,removed_by_salmonid_search_correction
25,177-441-017-301-399,EXCLUDE,pending_canonical_correction
26,180-015-311-383-563,RETAIN,pending_canonical_correction
27,187-041-867-690-546,EXCLUDE,pending_canonical_correction
28,033-789-649-199-244,EXCLUDE,removed_by_salmonid_search_correction
29,036-961-302-111-89X,EXCLUDE,removed_by_salmonid_search_correction
30,029-068-122-701-264,RETAIN,pending_canonical_correction
31,109-948-579-493-536,RETAIN,pending_canonical_correction
32,004-902-787-482-435,RETAIN,pending_canonical_correction
33,084-400-331-655-723,RETAIN,pending_canonical_correction
34,013-339-992-576-496,EXCLUDE,agrees_canonical
35,085-427-328-225-884,RETAIN,pending_canonical_correction
36,125-559-251-089-629,EXCLUDE,pending_canonical_correction
37,124-216-801-236-777,RETAIN,pending_canonical_correction
38,124-586-254-426-958,RETAIN,pending_canonical_correction
39,042-878-493-463-750,RETAIN,pending_canonical_correction
40,024-093-180-453-10X,RETAIN,pending_canonical_correction
41,023-510-490-451-474,EXCLUDE,agrees_canonical
